Crop,Year,HarvestedAcres,ProductionPerAcre,TotProduction,Unit,UnitValue,TotValue,Type,Notes
Barley,2023,"4,250",0.78,3300.00,Ton,271.00,893000.00,Field,
Barley,2022,550,1.94,1060.00,Ton,355.00,375000.00,Field,
"Beans,Dry Edible",2023,660,0.65,430.00,Ton,1300.00,558000.00,Field,
"Beans,Dry Edible",2022,120,1,120.00,Ton,1190.00,143000.00,Field,
"Cotton Lint, All",2023,"7,468","1,370",20500.00,Bale,1.76,17982000.00,Field,"b/1,370; c/20,500"
"Cotton Lint, All",2022,"9,591","1,520",29100.00,Bale,2.09,30396000.00,Field,"b/1,520; c/29,100"
"Hay, Alfalfa",2023,"47,400",7.3,346000.00,Ton,255.00,88290000.00,Field,
"Hay, Alfalfa",2022,"48,700",7.86,383000.00,Ton,370.00,141680000.00,Field,
"Hay, Grain",2023,"21,400",3.47,74200.00,Ton,157.00,11645000.00,Field,
"Hay, Grain",2022,"25,200",2.76,69500.00,Ton,249.00,17278000.00,Field,
"Hay, Other",2023,"2,940",3.3,9700.00,Ton,207.00,2007000.00,Field,
"Hay, Other",2022,"2,550",3.1,7900.00,Ton,256.00,2019000.00,Field,
Silage and forage,2023,"111,000",19.09,2119000.00,Ton,62.50,132410000.00,Field,
Silage and forage,2022,"102,700",19.11,1963000.00,Ton,74.70,146565000.00,Field,
Wheat,2023,"15,500",2.2,34100.00,Ton,273.00,9309000.00,Field,
Wheat,2022,"18,100",1.51,27300.00,Ton,350.00,9548000.00,Field,
"Garlic, Fresh & Process",2023,"6,320",7.41,46800.00,Ton,2700.00,126428000.00,Vegetable,
"Garlic, Fresh & Process",2022,"6,000",8.7,52200.00,Ton,2500.00,131214000.00,Vegetable,
"Onions, Fresh",2023,"1,840",37.83,69600.00,Ton,556.00,38716000.00,Vegetable,
"Onions, Fresh",2022,"1,820",52.2,95000.00,Ton,744.00,70698000.00,Vegetable,
"Onions, Dehydrator",2023,"3,410",28.56,97400.00,Ton,269.00,26201000.00,Vegetable,
"Onions, Dehydrator",2022,"3,380",27.13,91700.00,Ton,173.00,15847000.00,Vegetable,
"Peppers, Bell Fresh",2023,920,22.07,20300.00,Ton,1320.00,26839000.00,Vegetable,
"Peppers, Bell Fresh",2022,"1,060",14.15,15000.00,Ton,1220.00,18226000.00,Vegetable,
"Potatoes, All",2023,"9,950",31.06,309000.00,Ton,---,154986000.00,Vegetable,
"Potatoes, All",2022,"10,380",29.58,307000.00,Ton,---,192577000.00,Vegetable,
"Watermelons, Seeded/Seedless",2023,"1,530",37.58,57500.00,Ton,453.00,26023000.00,Vegetable,
"Watermelons, Seeded/Seedless",2022,"1,530",36.01,55100.00,Ton,414.00,22803000.00,Vegetable,
Almonds,2023,"209,000",1.17,245000.00,Ton,3490.00,855763000.00,FruitNut,
Almonds,2022,"223,000",1.04,231000.00,Ton,3660.00,845790000.00,FruitNut,
Blueberries,2023,902,4.66,4200.00,Ton,9730.00,40881000.00,FruitNut,
Blueberries,2022,"1,060",2.36,2500.00,Ton,9220.00,23040000.00,FruitNut,
Cherries,2023,"3,990",2.41,9600.00,Ton,6500.00,62406000.00,FruitNut,
Cherries,2022,"3,960",2.75,10900.00,Ton,7570.00,82472000.00,FruitNut,
"Citrus, All",2023,"69,660",20.89,1455400.00,Ton,---,1277330000.00,FruitNut,
"Citrus, All",2022,"68,230",16.78,1145200.00,Ton,---,1149183000.00,FruitNut,
Grapefruit,2023,"1,700",15.24,25900.00,Ton,918.00,23768000.00,FruitNut,
Grapefruit,2022,"1,400",17.21,24100.00,Ton,944.00,22755000.00,FruitNut,
Lemons,2023,"6,420",15.89,102000.00,Ton,1030.00,104578000.00,FruitNut,
Lemons,2022,"5,380",21.49,115600.00,Ton,1070.00,123968000.00,FruitNut,
"Oranges, Navel",2023,"29,100",18.21,530000.00,Ton,940.00,499327000.00,FruitNut,
"Oranges, Navel",2022,"29,000",16,464000.00,Ton,1050.00,488001000.00,FruitNut,
"Oranges, Valencia",2023,"4,640",17.78,82500.00,Ton,920.00,76089000.00,FruitNut,
"Oranges, Valencia",2022,"4,550",14.62,66500.00,Ton,1120.00,74742000.00,FruitNut,
Tangerine & Tangelo,2023,"27,800",12.7,353000.00,Ton,1520.00,535135000.00,FruitNut,
Tangerine & Tangelo,2022,"27,900",7.92,221000.00,Ton,1930.00,425736000.00,FruitNut,
"Grapes, All",2023,"89,500",12.82,1147560.00,Ton,---,1619193000.00,FruitNut,
"Grapes, All",2022,"96,200",10.79,1038340.00,Ton,---,1394510000.00,FruitNut,
Raisin Variety,2023,"11,900",17.33,206260.00,Ton,---,156230000.00,FruitNut,
Raisin Variety,2022,"13,000",16.26,211340.00,Ton,---,116770000.00,FruitNut,
Table Variety,2023,"55,000",10.71,589000.00,Ton,---,1331006000.00,FruitNut,
Table Variety,2022,"59,400",10.2,606000.00,Ton,---,1193106000.00,FruitNut,
Wine Variety,2023,"22,600",15.59,352300.00,Ton,---,131957000.00,FruitNut,
Wine Variety,2022,"23,800",9.29,221000.00,Ton,---,84634000.00,FruitNut,
Pistachios,2023,"161,000",1.53,246000.00,Ton,4080.00,1003096000.00,FruitNut,
Pistachios,2022,"158,000",0.92,146000.00,Ton,4450.00,649110000.00,FruitNut,
"Tomatoes, Processed",2023,"16,000",54.19,867000.00,Ton,139.00,120921000.00,FruitNut,
