Date,trapVisitID,subSiteName,catchRawID,releaseID,commonName,lifeStage,forkLength,weight,n,mort,fishOrigin,markType,CatchRaw.comments
1/12/2014 0:00,326,North Channel 8.1,32123,0,Steelhead / rainbow trout,Adult,485,NA,1,Yes,Hatchery,Fin clip,"Ad-clipped.
Caudal fin damaged"
1/14/2014 0:00,336,North Channel 8.2,33980,0,Steelhead / rainbow trout,Smolt,265,193,1,No,Natural,No marks or tags,NA
1/15/2014 0:00,337,North Channel 8.1,32683,0,Steelhead / rainbow trout,Smolt,280,285.7,1,No,Natural,No marks or tags,NA
1/16/2014 0:00,339,North Channel 8.1,32971,0,Steelhead / rainbow trout,Smolt,297,282,1,No,Natural,No marks or tags,NA
1/17/2014 0:00,341,North Channel 8.1,33104,0,Steelhead / rainbow trout,Smolt,255,144.5,1,No,Natural,No marks or tags,NA
1/18/2014 0:00,342,North Channel 8.1,33304,0,Steelhead / rainbow trout,Adult,765,NA,1,No,Hatchery,Fin clip,Ad-clipped.
1/19/2014 0:00,343,North Channel 8.1,33432,0,Steelhead / rainbow trout,Adult,770,NA,1,Yes,Natural,No marks or tags,SH tag #100
1/21/2014 0:00,349,North Channel 8.1,34083,0,Steelhead / rainbow trout,Smolt,277,196,1,No,Natural,No marks or tags,NA
1/21/2014 0:00,349,North Channel 8.1,34084,0,Steelhead / rainbow trout,Smolt,232,114,1,No,Natural,No marks or tags,NA
1/23/2014 0:00,351,North Channel 8.1,34384,0,Steelhead / rainbow trout,Smolt,237,125.2,1,No,Natural,No marks or tags,NA
1/30/2014 0:00,367,North Channel 8.1,36270,0,Steelhead / rainbow trout,Smolt,171,51,1,No,Hatchery,Fin clip,Ad-clipped.
1/30/2014 0:00,369,North Channel 8.2,36556,0,Steelhead / rainbow trout,Smolt,208,88,1,No,Hatchery,Fin clip,Ad-clipped.
1/30/2014 0:00,367,North Channel 8.1,36271,0,Steelhead / rainbow trout,Smolt,220,87.6,1,No,Hatchery,Fin clip,Ad-clipped.
1/30/2014 0:00,367,North Channel 8.1,36269,0,Steelhead / rainbow trout,Smolt,190,68.6,1,No,Hatchery,Fin clip,Ad-clipped.
1/30/2014 0:00,367,North Channel 8.1,36268,0,Steelhead / rainbow trout,Smolt,163,61,1,No,Hatchery,Fin clip,Ad-clipped.
1/30/2014 0:00,367,North Channel 8.1,36272,0,Steelhead / rainbow trout,Smolt,230,105,1,No,Hatchery,Fin clip,Ad-clipped.
1/31/2014 0:00,368,North Channel 8.1,36419,0,Steelhead / rainbow trout,Smolt,217,93.4,1,Yes,Hatchery,Fin clip,Ad-clipped.
1/31/2014 0:00,370,North Channel 8.2,36682,0,Steelhead / rainbow trout,Smolt,219,94.9,1,No,Hatchery,Fin clip,Ad-clipped.
1/31/2014 0:00,370,North Channel 8.2,36681,0,Steelhead / rainbow trout,Smolt,185,55.8,1,No,Hatchery,Fin clip,Ad-clipped.
1/31/2014 0:00,370,North Channel 8.2,36680,0,Steelhead / rainbow trout,Smolt,218,73.4,1,No,Hatchery,Fin clip,Ad-clipped.
1/31/2014 0:00,370,North Channel 8.2,36679,0,Steelhead / rainbow trout,Smolt,231,110.6,1,No,Hatchery,Fin clip,Ad-clipped.
