frogid,tank,frognum,day,week,ZE,weight,svl,sex,frogsource,bdsource,frogpersistent,bdpersistent,logZE1
1_1,1,1,6,1,7.928,17,51, M,site_1,site_2,1,1,0.950754182
1_1,1,1,13,2,1.072,17.6,50, M,site_1,site_2,1,1,0.316389751
1_1,1,1,20,3,0,16.8,49.1, M,site_1,site_2,1,1,0
1_1,1,1,27,4,0.7296,17,49.1, M,site_1,site_2,1,1,0.237945677
1_1,1,1,34,5,17.08,17.3,48, M,site_1,site_2,1,1,1.257198426
1_1,1,1,41,6,1.288,17.2,48.7, M,site_1,site_2,1,1,0.35945602
1_1,1,1,48,7,6.456,17.9,47.8, M,site_1,site_2,1,1,0.872505899
1_1,1,1,55,8,9.36,18.7,46.5, M,site_1,site_2,1,1,1.015359755
1_1,1,1,62,9,0.92,19.1,48.4, M,site_1,site_2,1,1,0.283301229
1_1,1,1,69,10,8.48,20.3,48.3, M,site_1,site_2,1,1,0.976808337
1_1,1,1,76,11,1.488,20.2,58.8, M,site_1,site_2,1,1,0.395850376
1_1,1,1,83,12,78,18.4,48.8, M,site_1,site_2,1,1,1.897627091
1_1,1,1,90,13,4.048,19.4,48.8, M,site_1,site_2,1,1,0.703119346
1_1,1,1,97,14,154.4,19.6,48.9, M,site_1,site_2,1,1,2.191451014
1_1,1,1,104,15,17.36,19.4,48.9, M,site_1,site_2,1,1,1.263872677
1_2,1,2,6,1,375.2,16.9,46.4, F,site_4,site_2,0,1,2.575418791
1_2,1,2,13,2,39.76,17.2,48.3, F,site_4,site_2,0,1,1.610234175
1_2,1,2,20,3,72.36,19,45.8, F,site_4,site_2,0,1,1.865459323
1_2,1,2,27,4,18.84,17.1,46.7, F,site_4,site_2,0,1,1.297541668
1_2,1,2,34,5,47.24,17.4,45.9, F,site_4,site_2,0,1,1.683407299
1_2,1,2,41,6,99.2,17.6,47.4, F,site_4,site_2,0,1,2.000867722
1_2,1,2,48,7,32.24,17.8,47.9, F,site_4,site_2,0,1,1.521661015
1_2,1,2,55,8,128,18.8,48.9, F,site_4,site_2,0,1,2.11058971
1_2,1,2,62,9,174.4,18.8,48.4, F,site_4,site_2,0,1,2.244029589
1_2,1,2,69,10,49.12,20.3,47.5, F,site_4,site_2,0,1,1.700011062
1_2,1,2,76,11,124,20.1,48, F,site_4,site_2,0,1,2.096910013
1_2,1,2,83,12,488.8,18.6,47.7, F,site_4,site_2,0,1,2.690018781
1_2,1,2,90,13,2218.4,19.4,46.7, F,site_4,site_2,0,1,3.346235582
1_2,1,2,97,14,1037.6,18.4,46.2, F,site_4,site_2,0,1,3.016448318
1_2,1,2,104,15,220,18.6,47.3, F,site_4,site_2,0,1,2.344392274
2_1,2,1,6,1,26.16,28.8,60.2, F,site_3,site_8,1,0,1.433929766
2_1,2,1,13,2,7.904,29.9,59, F,site_3,site_8,1,0,0.949585151
2_1,2,1,20,3,2.208,27.3,55.4, F,site_3,site_8,1,0,0.50623436
2_1,2,1,27,4,14.08,28.2,54.8, F,site_3,site_8,1,0,1.178401342
2_1,2,1,34,5,294.8,29.8,56.7, F,site_3,site_8,1,0,2.47099817
2_1,2,1,41,6,56.56,29.9,57.1, F,site_3,site_8,1,0,1.760120785
2_1,2,1,48,7,341.6,30.4,55.3, F,site_3,site_8,1,0,2.534787359
2_1,2,1,55,8,578.4,32.2,55.7, F,site_3,site_8,1,0,2.762978491
2_1,2,1,62,9,2219.2,32.3,56.9, F,site_3,site_8,1,0,3.346392098
2_1,2,1,69,10,109.6,34.4,56.7, F,site_3,site_8,1,0,2.043755127
2_1,2,1,76,11,1042.4,34.3,55.2, F,site_3,site_8,1,0,3.018450832
2_1,2,1,83,12,6402.4,31.4,56.7, F,site_3,site_8,1,0,3.806410632
2_1,2,1,90,13,2637.6,33.4,56.7, F,site_3,site_8,1,0,3.421373558
2_1,2,1,97,14,2588,33.7,56.8, F,site_3,site_8,1,0,3.41313205
2_1,2,1,104,15,1054.4,33.9,57.34, F,site_3,site_8,1,0,3.02341709
2_2,2,2,6,1,4.352,18.8,60.8, M,site_5,site_8,0,0,0.728516105
2_2,2,2,13,2,1.656,19.7,53.8, M,site_5,site_8,0,0,0.424228071
2_2,2,2,20,3,0,19.3,51.5, M,site_5,site_8,0,0,0
2_2,2,2,27,4,1.568,19.1,51.4, M,site_5,site_8,0,0,0.409595019
2_2,2,2,34,5,12.88,20.2,49.6, M,site_5,site_8,0,0,1.142389466
2_2,2,2,41,6,45.36,19.9,57.1, M,site_5,site_8,0,0,1.666143427
2_2,2,2,48,7,4.528,19.8,50.4, M,site_5,site_8,0,0,0.742568034
2_2,2,2,55,8,25.84,20.5,53.4, M,site_5,site_8,0,0,1.428782511
2_2,2,2,62,9,15.28,19.7,50.9, M,site_5,site_8,0,0,1.211654401
2_2,2,2,69,10,11.84,21.6,50.1, M,site_5,site_8,0,0,1.108565024
2_2,2,2,76,11,104.8,22.3,51.8, M,site_5,site_8,0,0,2.024485668
2_2,2,2,83,12,269.6,19.6,52.1, M,site_5,site_8,0,0,2.432327792
2_2,2,2,90,13,748.8,20.4,50, M,site_5,site_8,0,0,2.874945436
2_2,2,2,97,14,146.4,20.5,54.9, M,site_5,site_8,0,0,2.168497484
2_2,2,2,104,15,322.4,21.2,50.5, M,site_5,site_8,0,0,2.509740016
3_1,3,1,6,1,17.36,22.3,50.5, F,site_1,site_1,1,1,1.263872677
