species,feedlevel,plant.num,fv.fm.lf1,fv.fm.lf2,totmass,rt.sht,mass.lf,area.lf,sla,chlorophyll,np.ratio,nk.ratio,kp.ratio,n,p,k,ca,mg,na,s,lma,amass,pnue.n,pnue.p,num.lvs,num.phylls,mass.phy,area.phy,lma.phy,chloro.phy,amass.phy
alabamensis,0.125,1,NA,NA,3.104,2.367,0.338,38.1,112.722,437.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.714,21.079,NA,NA,5,0,NA,NA,NA,NA,NA
alabamensis,0.0156,2,NA,NA,3.771,1.59,0.261,36.9,141.379,428.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.732,8.624,NA,NA,10,0,NA,NA,NA,NA,NA
alabamensis,0.0625,3,0.824,0.814,1.557,1.096,0.104,14.4,138.462,437.106,21.854,1.546,14.136,1.251,0.057,0.809,0.24,0.29,0.029,0.082,72.222,23.123,25.89,633.5,7,0,NA,NA,NA,NA,NA
alabamensis,0.0625,4,NA,NA,1.264,0.391,0.194,36.7,189.175,440.462,21.582,5.536,3.899,2.39,0.111,0.432,0.016,0.073,0.057,0.056,52.861,45.024,26.387,333.752,5,0,NA,NA,NA,NA,NA
alabamensis,0.03125,5,0.837,0.797,1.354,0.758,0.115,12,104.348,445.496,28.439,3.825,7.434,1.488,0.052,0.389,0.136,0.202,0.01,0.064,95.833,25.043,23.574,631.091,9,1,0.011,1.3,84.615,463.954,NA
alabamensis,0.25,6,0.843,0.821,4.085,1.419,0.324,38.6,119.136,433.75,29.215,2.273,12.853,1.119,0.038,0.492,0.12,0.157,0.003,0.044,83.938,19.419,24.308,888.927,14,0,NA,NA,NA,NA,NA
alabamensis,0.125,7,0.831,0.833,1.211,0.108,0.214,39.8,185.981,443.818,14.799,3.497,4.232,2.526,0.171,0.722,0.024,0.113,0.057,0.084,53.769,38.126,21.141,173.495,5,0,0.075,8.2,91.463,635.11,202.439
alabamensis,0.25,8,NA,NA,1.718,0.419,0.116,23.7,204.31,433.75,21.636,4.679,4.624,1.165,0.054,0.249,0.018,0.084,0.012,0.023,48.945,32.485,39.058,1015.999,6,0,NA,NA,NA,NA,NA
alabamensis,0.0156,9,0.742,0.814,3.389,2.873,0.218,29.9,137.156,435.428,17.891,2.52,7.1,1.027,0.057,0.408,0.081,0.155,0.014,0.046,72.91,15.224,20.764,506.671,3,0,NA,NA,NA,NA,NA
alabamensis,0.03125,10,NA,NA,5.681,1.572,0.339,39.8,117.404,442.14,16.051,2.719,5.902,1.06,0.066,0.39,0.055,0.162,0.021,0.044,85.176,3.874,5.12,108.589,12,0,NA,NA,NA,NA,NA
alabamensis,0,11,NA,NA,3.261,1.853,0.091,14.9,163.736,437.106,39.072,3.526,11.08,0.784,0.02,0.222,0.028,0.099,0.012,0.026,61.074,23.578,42.125,2940.571,4,0,NA,NA,NA,NA,NA
alabamensis,0,12,0.789,0.782,1.719,0.958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA
alata,0.125,1,NA,NA,10.024,0.809,0.718,68.2,94.986,445.496,12.696,1.57,8.089,0.703,0.055,0.448,0.321,0.439,0.094,0.073,105.279,21.372,42.583,1077.204,6,0,NA,NA,NA,NA,NA
alata,0.3125,2,NA,NA,3.634,3.958,0.135,13.6,100.741,428.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.265,24.379,NA,NA,5,0,NA,NA,NA,NA,NA
alata,0.25,3,NA,0.822,6.617,0.471,1.313,172.3,131.226,460.598,13.636,1.852,7.361,1.039,0.076,0.561,0.112,0.237,0.034,0.055,76.204,44.748,60.326,1108.934,8,1,NA,NA,NA,NA,NA
alata,0.125,4,0.785,0.82,7.645,1.061,0.452,57.3,126.77,457.242,7.909,2.704,2.925,1.844,0.233,0.682,0.087,0.175,0.107,0.102,78.883,71.625,54.406,326.835,7,0,NA,NA,NA,NA,NA
alata,0.5,5,NA,NA,8.995,3.744,0.551,49.8,90.381,452.208,16.28,1.258,12.945,0.83,0.051,0.66,0.088,0.366,0.036,0.067,110.643,19.884,33.556,921.895,5,0,NA,NA,NA,NA,NA
alata,0.0625,6,0.808,0.782,8.697,1.464,0.601,64.8,107.82,505.904,14.259,1.31,10.884,0.727,0.051,0.555,0.111,0.334,0.042,0.096,92.747,34.287,66.06,1814.898,6,0,NA,NA,NA,NA,NA
alata,0,7,0.723,0.748,11.977,0.717,0.636,71.3,112.107,437.106,12.536,2.104,5.958,0.815,0.065,0.387,0.096,0.189,0.04,0.068,89.201,32.175,55.297,1191.331,11,0,NA,NA,NA,NA,NA
alata,0,8,NA,NA,10.644,2.522,0.662,78.3,118.278,437.106,13.582,0.982,13.825,0.559,0.041,0.569,0.099,0.261,0.055,0.074,84.547,19.634,49.198,1674.307,7,0,NA,NA,NA,NA,NA
alata,0.25,9,NA,NA,7.188,1.33,0.417,39.3,94.245,443.818,13.291,1.214,10.945,0.816,0.061,0.672,0.067,0.284,0.015,0.087,106.107,31.195,53.548,1221.697,5,0,NA,NA,NA,NA,NA
alata,0.5,10,0.827,0.839,9.637,1.619,0.942,78.9,83.758,527.718,15.077,1.326,11.374,0.925,0.061,0.698,0.124,0.388,0.043,0.109,119.392,31.828,48.196,1100.324,5,0,NA,NA,NA,NA,NA
alata,0.0625,11,NA,NA,11.86,0.49,1.204,136.3,113.206,463.954,16.551,1.751,9.453,0.924,0.056,0.528,0.092,0.343,0.06,0.085,88.335,29.32,44.447,1115.197,11,0,NA,NA,NA,NA,NA
alata,0.3125,12,0.84,0.835,7.284,0.93,0.782,69.7,89.13,448.852,17.594,1.307,13.462,0.782,0.044,0.598,0.172,0.378,0.075,0.087,112.195,32.533,58.272,1836.339,6,0,NA,NA,NA,NA,NA
flava,0.625,1,NA,NA,12.897,0.606,0.957,84.5,88.297,435.428,14.473,0.965,14.997,0.58,0.04,0.601,0.068,0.214,0.142,0.053,113.254,23.575,56.934,1990.045,8,2,NA,NA,NA,NA,NA
flava,0,2,NA,NA,9.831,0.041,1.337,94.7,70.83,450.53,15.22,0.875,17.388,0.459,0.03,0.524,0.081,0.145,0.198,0.049,141.183,23.445,71.545,3322.996,7,3,0.394,30.9,127.508,839.826,281.553
flava,1,3,0.827,0.831,19.476,0.679,1.36,103.9,76.397,NA,15.106,0.822,18.37,0.588,0.039,0.715,0.175,0.379,0.169,0.094,130.895,33.08,78.801,2835.659,8,1,0.259,17.9,144.693,487.446,477.095
flava,0.125,4,NA,NA,15.833,0.678,1.517,120.3,79.301,425.36,16.78,0.796,21.08,0.448,0.027,0.563,0.092,0.273,0.121,0.055,126.101,20.301,63.473,3330.046,13,8,0.381,40.1,95.012,754.248,230.673
flava,1,5,NA,NA,5.003,0.123,1.37,104.9,76.569,437.106,9.679,1.014,9.543,0.695,0.072,0.685,0.054,0.209,0.145,0.062,108.389,42.993,86.649,1690.223,7,2,1.005,14.1,712.766,531.074,185.106
flava,0.125,6,0.832,0.813,12.469,1.063,0.991,87.7,88.496,452.208,11.374,0.977,11.637,0.536,0.047,0.548,0.2,0.362,0.178,0.074,112.999,33.363,87.186,2591.407,9,4,0.542,41.3,131.235,693.84,212.833
flava,0.5,7,NA,0.842,7.098,0.692,0.756,95.3,126.058,490.802,11.879,1.07,11.101,1.096,0.092,1.024,0.103,0.395,0.28,0.107,79.328,49.037,62.669,951.394,6,1,0.383,37.9,101.055,608.262,195.515
