Site,Tree #,DBH (cm),Basal Diameter (cm),Height (m),Dead (dry g/tree),Cones (dry g/tree),Branches (dry g/tree),Bole (dry g/tree),Total tree (dry g/tree),Coarse old branches (dry g/tree),Fine old branches (dry g/tree),Old leaves (dry g/tree),New branches (dry g/tree),New leaves (dry g/tree)
DF57,1,1.8,4.2,1.74,87.73,2.023,2089.72,477.555,2657.027,0,723.773,1262.865,14.978,88.104
DF57,2,0,1.6,0.745,10.09,0,87.683,42.134,139.907,0,32.274,50.951,1.597,2.861
DF57,3,2.2,4.1,2.35,102,15.32,456.561,413.454,987.335,0,144.27,290.874,2.76,18.657
DF57,4,4.3,6.5,3.27,167,119.279,2143.17,1403.154,3832.603,0,775.466,1258.84,16.301,92.563
DF57,5,1,2.8,1.415,20.35,0,440.511,162.949,623.809,0,168.711,248.511,3.082,20.207
DF57,6,2.4,4,2.49,193,6.774,494.77,626.25,1320.794,0,156.878,305.494,5.751,26.647
DF57,7,4.7,6,3.845,474,412.876,1526.158,2128.839,4541.873,0,580.907,901.765,9.103,34.383
DF57,8,5.8,7.8,4.13,467,510.562,2506.107,2959.45,6443.119,0,288.984,2091.675,18.578,106.869
DF57,9,6.5,8.6,5.025,472,28.197,3667.108,4754.842,8922.147,0,818.236,2609.787,36.666,202.42
DF57,10,5.9,7.9,4.6,375,444.769,2462.746,1807.024,5089.539,0,312.594,2023.458,23.855,102.839
DFCC,1,4.7,6.5,1.981,323.994,70.978,929.044,2272.123,3596.139,152.159,267.093,460.251,9.282,40.26
DFCC,2,8.9,13.3,4.054,1224.033,809.074,4484.802,10753.892,17271.801,1384.516,908.059,1869.88,51.474,270.872
DFCC,3,2.3,4.4,1.341,111.478,0.411,829.632,449.331,1390.851,181.882,213.42,398.476,5.644,30.209
DFCC,4,4.2,7,2.134,135.236,20.45,612.081,1525.247,2293.014,87.006,148.586,341.496,6.343,28.65
DFCC,5,5.8,8.8,2.682,462.079,104.267,1674.647,3662.448,5903.441,378.841,447.058,847.68,0.178,0.891
DFCC,6,-,3.4,1.036,14.643,0,293.847,139.594,448.084,35.269,72.489,172.53,2.205,11.354
DFCC,7,4.6,5.2,1.585,159.602,6.791,816.727,1192.999,2176.118,145.236,219.928,399.215,8.919,43.428
DFCC,8,8.1,12.2,3.719,1494.714,61.885,3601.192,9223.676,14381.466,973.271,887.961,1612.821,25.678,101.46
DFCC,9,10.6,16.2,4.938,2655.381,465.12,4904.873,12595.222,20620.596,1424.89,1462.092,1785.083,49.553,183.254
DFCC,10,8.4,12.6,3.84,607.176,44.157,5052.663,8108.103,13812.099,3818.458,378.116,680.77,28.787,146.533
DFCC,11,-,2,0.61,19.469,0,160.604,50.743,230.816,13.47,40.605,97.77,1.375,7.384
DFCC,12,-,1,0.305,0.189,0,45.097,20.076,65.362,0,10.374,28.333,1.06,5.33
DFCC,13,-,1.8,0.549,2.358,0,105.992,31.01,139.36,0.875,27.844,62.331,2.669,12.273
DFCC,14,-,1.1,0.335,0.232,0,152.771,27.405,180.408,60.8,19.651,60.85,1.918,9.552
DFCC,15,-,1.2,0.366,5.532,0,69.277,17.349,92.158,2.206,22.559,39.481,0.881,4.151
DFCC,16,-,1.1,0.335,0.449,0,44.232,14.596,59.277,0.448,11.235,29.726,0.524,2.299
DFCC,17,-,1.7,0.518,2.636,0,81.787,15.97,100.393,5.188,17.851,44.597,1.966,12.185
Helmer's Ridge,14,10.6,14,7.315,2814.154,1668.922,6974.769,12562.426,24020.271,1232.26,2029.011,3201.259,96.206,416.033
Helmer's Ridge,15,6,8.1,4.694,871.573,512.715,3525.686,3810.267,8720.241,317.312,1057.706,1833.357,35.257,282.055
Helmer's Ridge,16,5,6.4,3.627,495.114,57.57,1949.876,1937.378,4439.938,153.076,708.069,957.721,30.414,100.595
Helmer's Ridge,17,5.5,7,4.999,317.214,94.56,1313.516,3090.064,4815.354,35.599,420.517,737.709,21.932,97.759
Helmer's Ridge,18,2.2,3,1.859,45.12,1.31,243.736,340.379,630.545,21.712,73.394,122.679,4.7,21.251
Helmer's Ridge,19,1.9,3.2,2.118,22.56,0,223.8,318.439,564.799,70.8,46.105,92.684,2.495,11.716
Helmer's Ridge,20,1.2,2.7,1.676,38.9,0,157.29,202.68,398.87,12.04,60.795,77.98,1.138,5.338
Helmer's Ridge,21,3.5,4.5,3.231,161.287,0,538.322,1145.463,1845.073,15.928,181.795,294.212,8.314,38.073
Helmer's Ridge,22,4,5.5,3.383,219.325,191.672,682.439,1415.991,2509.427,56.322,220.778,381.391,4.25,19.698
DFTC,1,4.138,5.093,3.901,229.839,58.82,211.2,1644.928,2144.787,25.702,70.158,101.673,2.308,11.359
DFTC,2,3.82,6.366,3.206,110.043,146.26,539.714,1414.338,2210.355,97.502,133.289,275.923,4.64,28.36
DFTC,3,3.501,7.958,3.021,574.644,271.36,1073.53,2865.2,4784.733,354.121,251.89,396.98,12.337,58.202
DFTC,4,9.549,11.777,6.386,601.919,3637.258,2279.528,12565.2,19083.904,953.209,867.373,238.185,34.769,185.993
DFTC,5,2.865,5.093,2.225,285.543,33.55,79.045,858.981,1257.119,9.123,20.154,43.25,0.975,5.544
DFTC,6,0.955,2.865,1.707,206.125,5.14,2.992,294.68,508.937,0.028,0.899,1.797,0.04,0.229
DFTC,7,7.321,12.096,3.444,715.895,686.554,987.889,5793.612,8183.95,105.652,227.656,477.261,39.306,138.013
DFTC,8,4.456,10.504,2.271,859.476,162.96,669.823,2002.461,3694.721,137.88,175.588,274.806,14.645,66.902
DFTC,9,4.297,7.639,2.969,653.593,17.63,826.178,1827.947,3325.349,199.804,211.661,354.949,9.418,50.347
DFTC,10,8.594,11.459,4.42,718.391,797.396,1726.381,5834.642,9076.81,608.112,516.776,475.772,16.699,109.021
DFTC,11,2.228,4.456,1.966,35.8,61.34,106.83,466,669.97,10.314,52.991,36.192,1.07,6.264
DFTC,12,2.865,6.366,1.905,682.317,67.68,446.076,1036.992,2233.064,98.365,117.514,186.514,8.161,35.522
DFTC,13,1.592,5.093,1.798,66.77,6.61,290.726,555.846,919.952,51.997,62.121,153.121,2.976,20.51
