state,site,latitude,longitude,elevation,species,pct.c,pct.h,pct.n,pct.p,pct.k,ca,mg,fe,cr,cu,al,co,b,cd,mo,mn,na,ni,pb,s,zn
MA,Arcadia,42.31,-72.43,95,Chamaedaphne,52.14,6.21,2.58,0.095267,0.38615,10626.88,1560.29,55.63,0.5,0.5,267.58,0.5,18.92,0.5,0.5,1346.13,7.88,1.63,2.54,1508.83,26.33
MA,Arcadia,42.31,-72.43,95,Sarracennia,45.95,6.27,1,0.086664,0.337735,665.2,512.32,52.9,3.12,0.62,39.17,0.5,0.5,1.44,48.75,134.37,285.78,13.18,2.81,615.12,16.04
MA,Arcadia,42.31,-72.43,95,Sphagnum,44.04,5.47,3.83,0.095639,0.567757,2826.16,953.57,249.9,0.5,0.5,157.25,0.5,0.5,0.5,0.5,302.43,212.59,5.57,1,983.41,25.31
MA,BlackPond,42.18,-70.81,45,Chamaedaphne,52.14,6.6,1.99,0.113914,0.390625,12115.13,2311.18,151.32,1.32,3.62,350,0.5,0.5,0.66,0.5,887.17,3.95,10.2,15.79,2150.33,41.78
MA,BlackPond,42.18,-70.81,45,Sarracennia,44.58,5.45,1.2,0.092036,0.373423,974.13,2499.8,120.98,19.08,7.61,92.03,1.74,0.5,2.55,1.16,90.31,588.37,0.5,21.52,745.04,21.64
MA,BlackPond,42.18,-70.81,45,Sphagnum,42.84,5.3,1.08,0.099924,0.810459,2758.78,1529.35,371.23,0.5,16.55,271.69,0.5,0.5,6.54,48.88,74.43,2235.24,0.5,1.68,909.48,34.58
MA,BourneHadley,42.56,-72.09,274,Chamaedaphne,51.36,6.25,1.84,0.138886,0.430292,11994.9,1954.21,72.86,7.95,7.35,290,0.5,3.38,0.6,81.4,2187.89,29.5,0.5,1,1395.01,50.76
MA,BourneHadley,42.56,-72.09,274,Sarracennia,44.65,5.58,0.92,0.111847,0.499198,1243.42,1198.77,81.41,16.04,5.82,55.5,2.66,0.5,0.5,12.16,242.66,169.14,6.49,1,646.2,22.2
MA,BourneHadley,42.56,-72.09,274,Sphagnum,44.04,5.34,1.09,0.105233,0.57392,1367.14,570.94,242.97,0.5,9.03,177.42,0.5,0.5,0.5,0.5,198.03,330.7,4.68,1.98,783.34,22.5
MA,Chockalog,42.03,-71.67,152,Chamaedaphne,51.18,5.86,1.74,0.104851,0.41969,12491.68,992.87,63.43,0.5,0.5,188.32,0.5,0.5,0.5,0.5,1647.66,1,9.57,1,1666.47,28.12
MA,Chockalog,42.03,-71.67,152,Sarracennia,44.35,5.44,0.95,0.120935,0.393517,2790.11,1769.47,76.67,4.92,11.92,55.48,0.5,0.5,4.15,0.5,91.81,197.99,0.5,1,737.52,21.67
MA,Chockalog,42.03,-71.67,152,Sphagnum,43.23,4.99,1.13,0.097161,0.583634,2562.25,843.87,183.2,0.5,4.8,172.1,0.5,0.5,0.5,0.5,288.74,290.07,1.24,1,1044.78,19.04
MA,Clayton,42.05,-73.3,210,Chamaedaphne,51.45,5.91,2.01,0.144633,0.58335,10788.5,1610,69.67,0.5,4.67,333,0.5,18,0.83,0.5,816.83,1,1.67,1,2116,32.5
MA,Clayton,42.05,-73.3,210,Sarracennia,46.59,6.48,1.1,0.086556,0.32916,966.01,1364.44,75.47,9.55,6.25,58.84,3.26,0.5,1.19,27.29,80.99,76.72,0.5,0.99,794.93,15.75
MA,Clayton,42.05,-73.3,210,Sphagnum,45.49,5.78,1.13,0.070271,0.477119,1959.32,839.32,629.15,1.02,0.5,346.44,1.69,0.5,0.5,0.5,107.8,385.08,7.8,4.41,1104.07,29.15
MA,Hawley,42.58,-72.89,543,Chamaedaphne,51.79,6.47,1.63,0.089607,0.375806,11039.5,1315.99,33.4,0.5,2.13,111.58,0.5,0.5,1.56,31.04,747.02,8.74,0.5,1,1595.79,29.51
MA,Hawley,42.58,-72.89,543,Sarracennia,46.92,6.29,2.64,0.037767,0.254167,830,3435.33,62.67,0.67,0.5,44.33,0.5,0.5,1,0.5,44,306.67,1,2.33,849,27
MA,Hawley,42.58,-72.89,543,Sphagnum,45.37,5.65,1.57,0.037186,0.412712,3342.37,954.58,388.47,0.68,1.69,355.93,1.02,0.5,0.5,0.5,77.63,353.9,2.71,25.08,1534.58,22.03
MA,LakeJones,42.69,-72,323,Chamaedaphne,52.97,6.67,1.72,0.075,0.413692,8378.97,1188.91,59.27,0.5,0.5,110.26,0.5,15.23,0.5,0.5,698.84,1,0.5,1,1306.13,25.66
