state,site,ph,doc,don,nh4,no3,so4,cl,p,al,ca,cu,fe,k,mg,mn,na,si,zn
MA,Arcadia,4.75,21.08,1.7,0.16,0.1,0.1,1.77,0.02,0.05,0.29,0,0.05,1.05,0.06,0.04,1.62,0.24,0.23
MA,BlackPond,6.05,9.11,0.56,0.05,0.1,0.77,2.97,0.03,0.04,0.24,0,0.05,0.59,0.14,0.01,2.5,0.49,0.14
MA,BourneHadley,4.36,26.95,0.77,0.09,0.1,0.38,1.62,0.06,0.05,0.66,0.02,0.03,0.77,0.07,0.03,2.75,0.47,0.47
MA,Chockalog,5.17,40.64,1.27,0.15,0.1,0.36,3.44,0.1,0.1,1.79,0,0.08,1.7,0.41,0.11,6.49,0.6,0.67
MA,Clayton,4.44,42.92,2.59,0.09,0.1,0.69,1.13,0.03,0.11,0.9,0,0.23,0.79,0.29,0.05,1.96,0.35,0.31
MA,Hawley,5.72,28.38,0.63,0.18,0.1,0.96,3.09,0.05,0.07,0.72,0,0.1,0.76,0.13,0.02,5.54,0.76,0.6
MA,LakeJones,6.03,18.8,0.67,0.08,0.1,0.1,1.53,0.18,0.05,0.97,0.04,0.04,0.98,0.27,0.02,2.57,0.4,0.91
MA,LilyPond,5.9,20.77,0.79,0.18,0.1,0.3,1.88,0.03,0.06,0.47,0,0.08,0.5,0.11,0.01,2.04,0.41,0.33
MA,Otis,5.19,18.86,2.66,0.11,0.1,2.5,3.69,0.02,0.07,0.43,0,0.13,0.84,0.12,0.02,3.29,0.55,0.33
MA,Ponkapoag,4.8,11.98,0.89,0.06,0.1,0.65,2.75,0.02,0.04,0.17,0,0.02,0.54,0.03,0.01,3.23,0.27,0.28
MA,Quabbin,4.94,20.19,0.3,0.28,0.1,0.71,1.23,0.06,0.07,0.61,0,0.12,0.72,0.17,0.03,1.97,0.31,0.32
MA,QuagPond,4.26,32.84,0.3,0.06,0.1,0.46,7.32,0.02,0.26,2.89,0,0.71,0.44,0.55,0.02,3,2.98,0.06
MA,RoundPond,4.69,53.89,1.61,0.17,0.1,0.1,2.11,0.08,0.2,1.71,0,0.28,1.66,0.55,0.47,2.65,0.45,0.37
MA,ShankPainter,5.5,34.38,1.42,0.12,0.1,0.11,8.07,0.03,0.09,1.72,0,0.06,1.48,0.47,0.02,8.19,0.65,0.61
MA,SnakePond,4.17,58.48,3.01,0.19,0.1,0.2,1.74,0.12,0.17,1.79,0,0.32,1.42,0.78,0.2,1.67,0.64,0.2
MA,SwiftRiver,5.08,34.67,1.03,1.09,0.1,0.35,2.29,0.01,0.18,1.44,0.01,0.03,1.75,0.21,0.06,4.22,0.33,0.51
VT,Carmi,4.31,35.29,1.88,0.12,0.79,0.1,3.03,0.01,0.08,1.27,0.01,0.12,1.87,0.19,0.02,3.05,0.52,0.32
VT,Chickering,6.37,24.01,1,0.09,0.1,0.13,1.96,0.01,0.03,8.59,0,0.12,0.67,0.72,0.01,1.37,0.47,0.01
VT,Colchester,6.37,166.68,4.78,0.26,0.48,0.1,7.92,0.25,0.26,8.24,0.13,0.93,6.4,4.58,0.27,9.11,1.29,1.16
VT,Molly,4.03,56.57,2.25,0.14,0.1,0.24,6.78,0.03,0.15,0.62,0.01,0.4,3.29,0.14,0.01,4.95,0.2,0.47
VT,Moose,4.1,45.77,0.64,0.12,0.1,0.12,4.51,0.03,0.09,0.47,0.01,0.03,0.96,0.07,0.02,0.92,0.81,0.04
VT,Peacham,4.21,27.66,0.52,0.1,0.1,0.1,0.2,0.02,0.05,0.15,0,0.08,0.32,0.06,0,0.36,0.51,0.01
VT,SnakeMtn,4.09,75.73,2.3,0.16,0.94,0.1,5.19,0.03,0.19,1.5,0,0.54,2.32,0.4,0.06,6.14,0.79,0.72
VT,Springfield,4.83,41.9,1.75,0.19,0.1,0.56,2.93,0.13,0.11,0.87,0,1.44,3.9,0.26,0.09,2.52,0.82,0.23
