Date,Plot-250,Plot-300,Plot-350,Plot-400,Plot-450,Plot-500,Plot-550,Plot-600 ,Plot-650,Plot-700,Plot-750,Plot-800 ,Plot-850 ,Plot-900 ,Plot-950 ,Plot-1000 
2006-08-01,,,,,,,,,,,,,,,,
2006-08-02,,23.834,,,,,,22.461,21.969,21.587,,,,,,
2006-08-03,,22.753,,,,,,21.175,20.96,20.603,,,,,,
2006-08-04,,23.509,,,,,,22.089,21.586,21.268,,,,,,
2006-08-05,,22.745,,,,,,21.545,21.179,20.798,,,,,,
2006-08-06,,23.621,,,,,,22.385,21.841,21.53,,,,,,
2006-08-07,,23.513,,,,,,22.27,21.867,21.605,,,,,,
2006-08-08,,23.357,,,,,,22.095,21.76,21.434,,,,,,
2006-08-09,,24.097,,,,,,22.643,22.175,21.88,,,,,,
2006-08-10,,23.958,,,,,,22.621,22.298,22.011,,,,,,
2006-08-11,,24.396,,,,,,23.189,22.719,22.408,,,,,,
2006-08-12,,23.841,,,,,,22.792,22.27,21.951,,,,,,
2006-08-13,,24.155,,,,,,22.88,22.331,21.869,,,,,,
2006-08-14,,24.083,,,,,,22.664,22.247,21.781,,,,,,
2006-08-15,,23.991,,,,,,22.718,22.334,22.023,,,,,,
2006-08-16,,23.874,,,,,,22.772,22.319,21.996,,,,,,
2006-08-17,,23.65,,,,,,22.392,22.04,21.626,,,,,,
2006-08-18,,22.698,,,,,,21.557,21.291,20.913,,,,,,
2006-08-19,,23.138,,,,,,22.003,21.658,21.517,,,,,,
2006-08-20,,23.553,,,,,,22.385,21.988,21.826,,,,,,
2006-08-21,,24.688,,,,,,23.337,22.87,22.559,,,,,,
2006-08-22,,24.802,,,,,,23.332,22.842,22.451,,,,,,
2006-08-23,,25.155,,,,,,23.834,23.411,23.076,,,,,,
2006-08-24,,25.024,,,,,,23.596,23.118,22.775,,,,,,
2006-08-25,,23.598,,,,,,22.251,21.876,21.51,,,,,,
2006-08-26,,22.561,,,,,,21.314,21,20.702,,,,,,
2006-08-27,,23.74,,,,,,22.656,22.175,21.845,,,,,,
2006-08-28,,24.237,,,,,,23.125,22.691,22.304,,,,,,
2006-08-29,,24.469,,,,,,23.045,22.652,22.357,,,,,,
2006-08-30,,23.977,,,,,,22.494,22.192,22.049,,,,,,
2006-08-31,,23.43,,,,,,22.074,21.74,21.517,,,,,,
2006-09-01,,24.17,,,,,,23.046,22.624,22.269,,,,,,
2006-09-02,,24.634,,,,,,23.211,22.842,22.487,,,,,,
2006-09-03,,24.395,,,,,,23.167,22.726,22.415,,,,,,
2006-09-04,,24.071,,,,,,22.873,22.438,22.143,,,,,,
2006-09-05,,24.262,,,,,,22.954,22.514,22.234,,,,,,
2006-09-06,,23.718,,,,,,22.39,22.039,21.852,,,,,,
2006-09-07,,23.525,,,,,,22.296,21.833,21.642,,,,,,
2006-09-08,,23.558,,,,,,22.409,21.881,21.535,,,,,,
2006-09-09,,23.959,,,,,,22.847,22.249,22.039,,,,,,
2006-09-10,,23.4,,,,,,22.148,21.789,21.719,,,,,,
2006-09-11,,23.49,,,,,,22.123,21.711,21.524,,,,,,
2006-09-12,,22.979,,,,,,21.544,21.161,21.087,,,,,,
2006-09-13,,23.426,,,,,,22.374,21.93,21.835,,,,,,
2006-09-14,,23.909,,,,,,23.14,22.733,22.543,,,,,,
2006-09-15,,24.258,,,,,,23.286,22.864,22.757,,,,,,
2006-09-16,,24.537,,,,,,23.608,23.13,22.91,,,,,,
2006-09-17,,24.218,,,,,,23.267,22.818,22.481,,,,,,
2006-09-18,,24.503,,,,,,23.355,22.918,22.755,,,,,,
2006-09-19,,24.22,,,,,,23.001,22.577,22.344,,,,,,
2006-09-20,,23.99,,,,,,22.457,22.023,21.817,,,,,,
2006-09-21,,24.081,,,,,,22.517,22.174,21.96,,,,,,
2006-09-22,,24.086,,,,,,23.321,22.893,22.676,,,,,,
2006-09-23,,23.908,,,,,,23.173,22.602,22.324,,,,,,
2006-09-24,,23.651,,,,,,22.739,22.294,22.056,,,,,,
2006-09-25,,23.257,,,,,,22.139,21.82,21.653,,,,,,
2006-09-26,,23.869,,,,,,22.752,22.115,21.945,,,,,,
2006-09-27,,23.872,,,,,,23.008,22.428,22.102,,,,,,
2006-09-28,,23.861,,,,,,23.111,22.387,22.229,,,,,,
2006-09-29,,24.084,,,,,,23.189,22.512,22.198,,,,,,
2006-09-30,,24.204,,,,,,23.323,22.621,22.399,,,,,,
2006-10-01,,24.001,,,,,,23.085,22.498,22.312,,,,,,
2006-10-02,,23.639,,,,,,22.603,22.027,21.924,,,,,,
2006-10-03,,23.657,,,,,,22.7,22.095,21.897,,,,,,
2006-10-04,,23.014,,,,,,21.901,21.557,21.283,,,,,,
2006-10-05,,23.221,,,,,,21.987,21.617,21.485,,,,,,
2006-10-06,,23.631,,,,,,22.511,22.083,21.948,,,,,,
2006-10-07,,24.29,,,,,,23.115,22.618,22.423,,,,,,
2006-10-08,,24.4,,,,,,23.295,22.643,22.373,,,,,,
2006-10-09,,23.664,,,,,,22.552,22.068,21.865,,,,,,
2006-10-10,,23.558,,,,,,22.434,22.019,21.944,,,,,,
2006-10-11,,23.503,,,,,,22.259,21.92,21.777,,,,,,
2006-10-12,,22.867,,,,,,21.834,21.21,21.288,,,,,,
2006-10-13,,23.56,,,,,,22.444,22.136,21.926,,,,,,
2006-10-14,,23.733,,,,,,22.472,21.956,21.83,,,,,,
2006-10-15,,24.591,,,,,,23.23,22.607,22.358,,,,,,
2006-10-16,,24.568,,,,,,23.059,22.55,22.324,,,,,,
2006-10-17,,24.364,,,,,,22.903,22.467,22.42,,,,,,
2006-10-18,,23.876,,,,,,22.255,21.956,21.757,,,,,,
2006-10-19,,22.936,,,,,,21.46,21.232,21.103,,,,,,
2006-10-20,,22.575,,,,,,21.372,21.113,21.09,,,,,,
2006-10-21,,24.019,,,,,,22.651,22.211,22.109,,,,,,
2006-10-22,,23.471,,,,,,21.984,21.661,21.53,,,,,,
2006-10-23,,23.998,,,,,,22.503,22.266,22.001,,,,,,
2006-10-24,,24.285,,,,,,22.899,22.45,22.33,,,,,,
2006-10-25,,23.818,,,,,,22.478,22.096,21.954,,,,,,
2006-10-26,,24.012,,,,,,22.729,22.4,22.258,,,,,,
2006-10-27,,23.743,,,,,,22.542,22.17,22.019,,,,,,
2006-10-28,,24.079,,,,,,22.861,22.501,22.35,,,,,,
2006-10-29,,24.008,,,,,,22.778,22.334,22.199,,,,,,
2006-10-30,,23.538,,,,,,22.326,21.879,21.669,,,,,,
2006-10-31,,23.498,,,,,,22.279,21.86,21.645,,,,,,
2006-11-01,,23.463,,,,,,22.135,21.609,21.39,,,,,,
2006-11-02,,23.443,,,,,,22.148,21.633,21.527,,,,,,
2006-11-03,,22.982,,,,,,21.713,21.362,21.159,,,,,,
2006-11-04,,23.122,,,,,,21.99,21.53,21.297,,,,,,
2006-11-05,,23.509,,,,,,22.397,21.94,21.479,,,,,,
2006-11-06,,22.788,,,,,,21.758,21.415,21.055,,,,,,
2006-11-07,,22.681,,,,,,21.512,21.085,20.689,,,,,,
2006-11-08,,22.784,,,,,,21.396,21.001,20.665,,,,,,
2006-11-09,,23.458,,,,,,22.102,21.394,21.015,,,,,,
2006-11-10,,22.726,,,,,,21.71,21.261,20.969,,,,,,
2006-11-11,,22.776,,,,,,21.779,21.351,20.967,,,,,,
2006-11-12,,22.674,,,,,,21.498,21.056,20.81,,,,,,
2006-11-13,,21.964,,,,,,20.798,20.5,20.254,,,,,,
2006-11-14,,22.161,,,,,,20.883,20.326,20.287,,,,,,
2006-11-15,,22.152,,,,,,20.795,20.425,20.207,,,,,,
2006-11-16,,22.032,,,,,,21.017,20.723,20.401,,,,,,
2006-11-17,,21.866,,,,,,21.06,20.656,20.173,,,,,,
2006-11-18,,22.199,,,,,,21.021,20.629,20.305,,,,,,
2006-11-19,,23.218,,,,,,22.031,21.288,20.876,,,,,,
2006-11-20,,23.086,,,,,,21.791,21.38,20.991,,,,,,
2006-11-21,,22.887,,,,,,21.626,21.2,21.049,,,,,,
2006-11-22,,23.002,,,,,,21.589,21.151,20.929,,,,,,
2006-11-23,,22.519,,,,,,21.362,20.913,20.595,,,,,,
2006-11-24,,22.515,,,,,,21.208,20.798,20.624,,,,,,
2006-11-25,,22.445,,,,,,21.181,20.799,20.641,,,,,,
2006-11-26,,22.565,,,,,,21.471,21.019,20.901,,,,,,
2006-11-27,,22.412,,,,,,21.612,21.328,21.055,,,,,,
2006-11-28,,22.406,,,,,,21.422,20.992,20.726,,,,,,
2006-11-29,,22.146,,,,,,20.952,20.619,20.317,,,,,,
2006-11-30,,21.692,,,,,,20.472,20.115,19.865,,,,,,
2006-12-01,,21.326,,,,,,20.103,19.722,19.468,,,,,,
2006-12-02,,21.295,,,,,,19.94,19.52,19.282,,,,,,
2006-12-03,,21.06,,,,,,19.738,19.381,19.103,,,,,,
2006-12-04,,21.144,,,,,,19.94,19.548,19.31,,,,,,
2006-12-05,,21.753,,,,,,20.723,20.357,20.191,,,,,,
2006-12-06,,22.442,,,,,,21.334,20.949,20.782,,,,,,
2006-12-07,,22.55,,,,,,21.41,21.008,20.806,,,,,,
2006-12-08,,22.49,,,,,,21.183,20.833,20.639,,,,,,
2006-12-09,,22.275,,,,,,21.072,20.71,20.424,,,,,,
2006-12-10,,22.167,,,,,,21.024,20.687,20.425,,,,,,
2006-12-11,,21.784,,,,,,20.559,20.21,19.912,,,,,,
2006-12-12,,21.279,,,,,,20.103,19.781,19.572,,,,,,
2006-12-13,,21.475,,,,,,20.445,19.976,19.568,,,,,,
2006-12-14,,21.152,,,,,,20.028,19.667,19.357,,,,,,
2006-12-15,,21.669,,,,,,20.448,20.143,19.782,,,,,,
2006-12-16,,21.924,,,,,,20.81,20.476,20.179,,,,,,
2006-12-17,,21.82,,,,,,20.579,20.226,19.952,,,,,,
2006-12-18,,21.705,,,,,,20.52,19.984,19.682,,,,,,
2006-12-19,,21.494,,,,,,20.222,19.853,19.579,,,,,,
2006-12-20,,21.667,,,,,,20.362,20,19.691,,,,,,
2006-12-21,,21.873,,,,,,20.667,20.274,20.008,,,,,,
2006-12-22,,21.996,,,,,,20.766,20.333,20.107,,,,,,
2006-12-23,,21.661,,,,,,20.44,20.063,19.738,,,,,,
2006-12-24,,21.446,,,,,,20.171,19.77,19.437,,,,,,
2006-12-25,,21.049,,,,,,19.778,19.453,18.941,,,,,,
2006-12-26,,21.032,,,,,,19.786,19.464,19.139,,,,,,
2006-12-27,,21.224,,,,,,19.96,19.639,19.393,,,,,,
2006-12-28,,21.271,,,,,,20.214,19.845,19.619,,,,,,
2006-12-29,,21.342,,,,,,20.095,19.77,19.54,,,,,,
2006-12-30,,21.557,,,,,,20.333,19.908,19.706,,,,,,
2006-12-31,,21.593,,,,,,20.246,19.932,19.71,,,,,,
2007-01-01,,21.625,,,,,,20.202,19.825,19.69,,,,,,
2007-01-02,,21.765,,,,,,20.401,19.976,19.683,,,,,,
2007-01-03,,21.156,,,,,,19.782,19.452,19.179,,,,,,
2007-01-04,,20.623,,,,,,19.385,19.028,18.838,,,,,,
2007-01-05,,20.85,,,,,,19.655,19.226,18.945,,,,,,
2007-01-06,,20.953,,,,,,19.5,19.135,18.842,,,,,,
2007-01-07,,20.381,,,,,,19.127,18.759,18.481,,,,,,
2007-01-08,,20.87,,,,,,19.603,19.171,18.993,,,,,,
2007-01-09,,20.561,,,,,,19.457,19.005,18.617,,,,,,
2007-01-10,,20.299,,,,,,18.922,18.62,18.533,,,,,,
2007-01-11,,21.399,,,,,,20.096,19.687,19.401,,,,,,
2007-01-12,,21.104,,,,,,19.794,19.48,19.322,,,,,,
2007-01-13,,20.909,,,,,,19.623,19.278,19.068,,,,,,
2007-01-14,,21.008,,,,,,19.71,19.345,19.111,,,,,,
2007-01-15,,20.83,,,,,,19.472,19.096,18.894,,,,,,
2007-01-16,,21.029,,,,,,19.679,19.258,19.12,,,,,,
2007-01-17,,20.957,,,,,,19.639,19.302,18.997,,,,,,
2007-01-18,,20.531,,,,,,19.345,18.866,18.588,,,,,,
2007-01-19,,20.679,,,,,,19.429,18.973,18.846,,,,,,
2007-01-20,,20.488,,,,,,19.23,18.699,18.553,,,,,,
2007-01-21,,20.481,,,,,,19.096,18.632,18.446,,,,,,
2007-01-22,,20.627,,,,,,19.099,18.767,18.469,,,,,,
2007-01-23,,20.242,,,,,,18.957,18.537,18.303,,,,,,
2007-01-24,,19.684,,,,,,18.883,18.553,17.958,,,,,,
2007-01-25,,19.892,,,,,,18.545,18.136,17.906,,,,,,
2007-01-26,,20.085,,,,,,18.673,18.26,18.002,,,,,,
2007-01-27,,19.819,,,,,,18.415,18.033,17.879,,,,,,
2007-01-28,,20.327,,,,,,18.933,18.576,18.378,,,,,,
2007-01-29,,19.934,,,,,,18.649,18.359,18.081,,,,,,
2007-01-30,,20.428,,,,,,19.03,18.712,18.458,,,,,,
2007-01-31,,21.238,,,,,,19.966,19.58,19.379,,,,,,
2007-02-01,,21.126,,,,,,19.775,19.492,19.251,,,,,,
2007-02-02,,21.358,,,,,,19.897,19.54,19.334,,,,,,
2007-02-03,,21.22,,,,,,19.873,19.52,19.286,,,,,,
2007-02-04,,21.088,,,,,,19.611,19.222,18.981,,,,,,
2007-02-05,,21.137,,,,,,19.846,19.393,19.235,,,,,,
2007-02-06,,21.61,,,,,,20.048,19.595,19.564,,,,,,
2007-02-07,,20.92,,,,,,19.747,19.465,19.153,,,,,,
2007-02-08,,20.98,,,,,,19.93,19.469,19.077,,,,,,
2007-02-09,,21.997,,,,,,20.451,19.791,19.602,,,,,,
2007-02-10,,20.936,,,,,,18.839,18.474,18.586,,,,,,
2007-02-11,,21.088,,,,,,19.338,18.788,18.77,,,,,,
2007-02-12,,21.443,,,,,,20.213,19.723,19.506,,,,,,
2007-02-13,,21.714,,,,,,20.439,19.918,19.653,,,,,,
2007-02-14,,21.243,,,,,,20.134,19.648,19.415,,,,,,
2007-02-15,,21.295,,,,,,19.928,19.672,19.571,,,,,,
2007-02-16,,22.279,,,,,,20.86,20.358,20.102,,,,,,
2007-02-17,,21.898,,,,,,20.156,19.478,19.309,,,,,,
2007-02-18,,21.728,,,,,,20.19,19.7,19.511,,,,,,
2007-02-19,,21.24,,,,,,19.679,19.314,19.283,,,,,,
2007-02-20,,20.476,,,,,,19.218,18.798,18.529,,,,,,
2007-02-21,,20.961,,,,,,19.679,19.207,19.084,,,,,,
2007-02-22,,21.576,,,,,,20.427,19.874,19.605,,,,,,
2007-02-23,,21.714,,,,,,20.209,19.684,19.479,,,,,,
2007-02-24,,22.003,,,,,,20.383,19.713,19.576,,,,,,
2007-02-25,,21.933,,,,,,20.606,20.07,19.861,,,,,,
2007-02-26,,22.724,,,,,,20.883,20.433,20.347,,,,,,
2007-02-27,,23.014,,,,,,20.939,20.286,19.91,,,,,,
2007-02-28,,22.01,,,,,,20.456,20.029,19.776,,,,,,
2007-03-01,,21.744,,,,,,20.356,19.902,19.578,,,,,,
2007-03-02,,21.447,,,,,,20.071,19.73,19.596,,,,,,
2007-03-03,,21.507,,,,,,20.163,19.774,19.607,,,,,,
2007-03-04,,21.791,,,,,,20.335,19.726,19.608,,,,,,
2007-03-05,,21.882,,,,,,20.519,20.052,19.644,,,,,,
2007-03-06,,21.033,,,,,,19.683,19.338,19.12,,,,,,
2007-03-07,,21.572,,,,,,20.359,19.909,19.628,,,,,,
2007-03-08,,22.41,,,,,,20.653,20.163,19.986,,,,,,
2007-03-09,,22.662,,,,,,20.875,20.449,20.352,,,,,,
2007-03-10,,22.463,,,,,,20.904,20.465,20.376,,,,,,
2007-03-11,,22.6,,,,,,20.976,20.399,20.145,,,,,,
2007-03-12,,21.603,,,,,,19.672,19.255,19.109,,,,,,
2007-03-13,,21.008,,,,,,19.44,19.068,18.64,,,,,,
2007-03-14,,19.956,,,,,,18.537,17.978,17.78,,,,,,
2007-03-15,,20.144,,,,,,18.636,18.156,17.875,,,,,,
2007-03-16,,21.372,,,,,,19.897,19.369,19.318,,,,,,
2007-03-17,,22.712,,,,,,21.268,20.581,20.34,,,,,,
2007-03-18,,21.874,,,,,,20.44,20.049,19.836,,,,,,
2007-03-19,,22.15,,,,,,20.867,20.358,20.216,,,,,,
2007-03-20,,22.776,,,,,,21.241,20.493,20.437,,,,,,
2007-03-21,,21.887,,,,,,20.283,19.885,19.612,,,,,,
2007-03-22,,21.886,,,,,,20.187,19.718,19.596,,,,,,
2007-03-23,,21.496,,,,,,20.347,19.675,19.636,,,,,,
2007-03-24,,21.98,,,,,,20.594,20.112,19.916,,,,,,
2007-03-25,,21.971,,,,,,20.41,20.076,19.899,,,,,,
2007-03-26,,21.648,,,,,,19.954,19.644,19.701,,,,,,
2007-03-27,,20.993,,,,,,19.559,19.187,19.084,,,,,,
2007-03-28,,21.678,,,,,,20.371,19.87,19.923,,,,,,
2007-03-29,,21.482,,,,,,20.202,19.813,19.615,,,,,,
2007-03-30,,20.889,,,,,,19.528,19.155,18.755,,,,,,
2007-03-31,,19.639,,,,,,17.903,17.494,17.236,,,,,,
2007-04-01,,19.707,,,,,,17.93,17.478,17.395,,,,,,
2007-04-02,,19.735,,,,,,18.176,17.692,17.505,,,,,,
2007-04-03,,20.576,,,,,,18.967,18.343,18.524,,,,,,
2007-04-04,,19.548,,,,,,18.259,17.76,17.748,,,,,,
2007-04-05,,19.926,,,,,,18.831,18.426,18.327,,,,,,
