"LTER_site","local_site","date","slope_asp","easting","northing","tag_type","code_r_ear","code_l_ear","num_r_ear","num_l_ear","weight","stage","sex","repro_status","ear-mites_samp","ear-mite_obs","fleas_samp","fleas_obs","tissue_samp","hair_samp","urine_samp","feces_samp_dry","feces_samp_wet","feces_samp_cae","blood_samp_r-o","blood_samp_ear","smear","nobuto","saliva_samp","rectal_temp","neck_circ","foot_length"
"NWT","ML",2008-07-14,"S",449470,4437834,"A","BW","RW","271","220","178","A","F","L","0","N","1",NA,"1","1","0","1",NA,"0","1",NA,"NS","NS","NS","NS","NS","NS"
"NWT","ML",2008-07-14,"S",449409,4437878,"A","GR","YG","253","205","162","A","M","T","0","N","1",NA,"1","1","0","1",NA,"0","1",NA,"NS","NS","NS","NS","NS","NS"
"NWT","LL",2008-07-15,"N",449898,4435523,"A","RW","WG","45","84","76","J","M","U","0","N","1",NA,"1","1","1","1",NA,"0","1",NA,"NS","NS","NS","NS","NS","NS"
"NWT","LL",2008-07-15,"N",449913,4435574,"A","BG","YR","26","13","73","J","M","U","0","N","0",NA,"1","1","1","1",NA,"0","1",NA,"NS","NS","NS","NS","NS","NS"
"NWT","LL",2008-07-16,"N",449900,4435477,"A","YB","WR","255","265","79","J","F","U","0","N","0",NA,"1","1","1","1",NA,"0","1",NA,"NS","NS","NS","NS","NS","NS"
"NWT","LL",2008-07-16,"N",450062,4435668,"A","WY","RR","272","273","229","A","F","P","0","N","1",NA,"1","1","1","1",NA,"0","1",NA,"NS","NS","NS","NS","NS","NS"
"NWT","LL",2008-07-16,"N",449501,4435373,"A","GR","GG","27","252","180","A","F","L","0","N","0",NA,"1","1","1","1",NA,"0","1",NA,"NS","NS","NS","NS","NS","NS"
"NWT","LL",2008-07-16,"N",449930,4435559,"A","RB","WG","58","250","192","A","M","T","0","N","1",NA,"1","1","0","0",NA,"0","1",NA,"NS","NS","NS","NS","NS","NS"
"NWT","ML",2008-07-22,"S",449397,4437908,"A","WB","YB","22","79","68","J","M","U","1","L","1",NA,"1","1","1","1",NA,"0","1",NA,"NS","NS","NS","NS","NS","NS"
"NWT","ML",2008-07-22,"S",449397,4437908,"none","none","none","none","none","70","J","F","U","1","L","1",NA,"1","1","1","1",NA,"0","1",NA,"NS","NS","NS","NS","NS","NS"
"NWT","ML",2008-07-22,"S",449524,4437817,"A","RB","BG","221","217","68","J","F","U","0","N","1",NA,"1","1","0","1",NA,"0","1",NA,"NS","NS","NS","NS","NS","NS"
"NWT","ML",2008-07-22,"S",449461,4437861,"A","GG","RW","25","86","76","J","F","U","0","N","1",NA,"1","1","0","1",NA,"0","1",NA,"NS","NS","NS","NS","NS","NS"
"NWT","ML",2008-07-22,"S",449303,4437832,"A","YB","WB","227","256","169","A","F","L","0","N","1",NA,"1","1","1","1",NA,"0","1",NA,"NS","NS","NS","NS","NS","NS"
"NWT","WK",2008-07-25,"S",449590,4433334,"A","WR","YY","298","278","154","A","F","L","0","N","1",NA,"1","1","0","1",NA,"0","1",NA,"NS","NS","NS","NS","NS","NS"
"NWT","WK",2008-07-25,"S",449288,4434087,"A","YY","BB","78","225","117","A","F","L","0","N","1",NA,"1","1","1","1",NA,"1","1",NA,"NS","NS","NS","NS","NS","NS"
"NWT","WK",2008-07-25,"S",449287,4434160,"A","GW","BY","267","246","175","A","F","P/L","0","N","1",NA,"1","1","0","1",NA,"1","1",NA,"NS","NS","NS","NS","NS","NS"
"NWT","WK",2008-07-25,"S",449285,4434179,"A","WW","GG","261","72","107","J","M","U","0","N","1",NA,"1","1","0","1",NA,"1","1",NA,"NS","NS","NS","NS","NS","NS"
"NWT","WK",2008-07-25,"S",449241,4434160,"A","YW","YW","284","254","139","A","M","U","0","N","1",NA,"1","1","1","1",NA,"0","1",NA,"NS","NS","NS","NS","NS","NS"
"NWT","WK",2008-07-28,"S",449319,4434098,"A","WR","WG","296","77","147","A","M","U","0","N","1",NA,"1","1","0","1",NA,"0","1",NA,"NS","NS","1","NS","NS","NS"
"NWT","WK",2008-07-28,"S",449284,4434090,"A","YB","GG","299","259","65","J","M","U","0","N","0",NA,"1","1","0","1",NA,"0","0",NA,"NS","NS","1","NS","NS","NS"
"NWT","WK",2008-07-28,"S",449249,4434162,"A","GB","RG","59","202","109","A","F","U","0","N","0",NA,"1","1","0","1",NA,"0","1",NA,"NS","NS","1","NS","NS","NS"
"NWT","WK",2008-07-28,"S",449290,4434164,"A","WR","RG","57","11","115","A","F","U","0","N","0",NA,"1","1","1","1",NA,"0","1",NA,"NS","NS","1","NS","NS","NS"
"NWT","WK",2008-07-28,"S",449243,4434206,"A","BR","YB","237","248","133","A","M","U","0","N","0",NA,"1","1","0","1",NA,"1","1",NA,"NS","NS","1","NS","NS","NS"
"NWT","WK",2008-07-30,"N",449172,4434544,"A","RB","GB","165","188","110","A","M","U","0","N","0",NA,"1","1","0","1",NA,"0","1",NA,"NS","NS","1","NS","NS","NS"
"NWT","WK",2008-07-30,"N",449123,4434407,"A","RB","YR","160","177","142","A","M","U","0","N","0",NA,"1","1","1","0",NA,"1","1",NA,"NS","NS","1","NS","NS","NS"
"NWT","WK",2008-07-30,"N",449137,4434403,"A","WW","RW","146","130","100","J","M","U","0","N","1",NA,"1","1","0","1",NA,"1","1",NA,"NS","NS","1","NS","NS","NS"
"NWT","WK",2008-07-30,"N",449099,4434480,"none","none","none","none","none","NS","NS","NS","NS","0","N","0",NA,"0","0","1","0",NA,"0","0",NA,"NS","NS","0","NS","NS","NS"
"NWT","WK",2008-07-30,"N",449156,4434539,"A","RR","GB","154","163","131","A","F","P?","0","N","0",NA,"1","1","0","1",NA,"1","1",NA,"NS","NS","1","NS","NS","NS"
"NWT","WK",2008-07-30,"N",449105,4434420,"A","YR","BG","172","143","38","J","F?","U","0","N","0",NA,"1","1","0","1",NA,"0","1",NA,"NS","NS","1","NS","NS","NS"
"NWT","WK",2008-07-30,"N",449084,4434439,"A","BR","GW","157","159","154","A","F","L","0","N","0",NA,"1","1","1","1",NA,"0","1",NA,"NS","NS","1","NS","NS","NS"
"NWT","WK",2008-08-01,"N",449137,4434355,"A","GY","RG","195","106","132","A","F","U","0","N","0",NA,"1","1","0","1",NA,"0","1",NA,"NS","NS","1","NS","NS","NS"
"NWT","WK",2008-08-01,"N",449121,4434410,"A","YR","YR","156","198","46","J","M","U","0","N","0",NA,"1","1","0","1",NA,"0","1",NA,"NS","NS","1","NS","NS","NS"
"NWT","WK",2008-08-01,"N",449122,4434430,"A","RB","WB","118","191","120","A","M","U","0","N","0",NA,"1","1","1","1",NA,"0","1",NA,"NS","NS","1","NS","NS","NS"
"NWT","WK",2008-08-01,"N",449123,4434433,"A","WR","WB","194","150","107","J?","F?","U","0","N","0",NA,"1","1","0","1",NA,"0","1",NA,"NS","NS","0","NS","NS","NS"
"NWT","WK",2008-08-01,"N",449108,4434425,"A","RW","WR","120","149","134","A","F","P/L","0","N","0",NA,"1","1","0","1",NA,"0","1",NA,"NS","NS","0","NS","NS","NS"
"NWT","WK",2008-08-01,"N",449079,4434427,"A","YB","BW","176","131","160","A","M","U","0","N","0",NA,"1","1","1","1",NA,"0","1",NA,"NS","NS","1","NS","NS","NS"
"NWT","ML",2008-08-05,"S",449525,4437815,"C3","A","A","C3","C3","102","J","F","U","1","L","0",NA,"1","1","1","1",NA,"0","1",NA,"NS","NS","1","NS","NS","NS"
"NWT","ML",2008-08-05,"S",449469,4437832,"A","WB","RW","33","206","117","J?","M","U","1","L","1",NA,"1","1","1","1",NA,"0","1",NA,"NS","NS","1","38","NS","NS"
"NWT","ML",2008-08-05,"S",448966,4437841,"A","BY","YY","8","292","206","A","F","P?","1","L","0",NA,"1","1","0","1",NA,"0","1",NA,"NS","NS","1","35.8","NS","NS"
"NWT","LL",2008-08-07,"N",449992,4435650,"A","YY","YY","100","268","164","A","M","U","1","L","0",NA,"1","1","0","1",NA,"0","1",NA,"NS","NS","1","36.6","NS","NS"
"NWT","LL",2008-08-07,"N",450167,4435715,"A","RR","RR","21","82","186","A","F","L","1","L","1",NA,"1","1","1","1",NA,"0","0","1","NS","NS","1","35.8","NS","NS"
"NWT","WK",2010-07-19,"S",449348,4434123,"A","GB","GY","397","392","163","A","F","P?/L","0","N","0","0","1","1","0","1","1","0","1","0","NS","NS","1",NA,"NS","NS"
"NWT","WK",2010-07-19,"S",449255,4434150,"A","BB","RB","356","303","162","A","F","L","0","N","0","0","1","1","0","1","1","0","1","1","NS","NS","1",NA,"NS","NS"
"NWT","WK",2010-07-19,"S",449256,4434189,"none","none","none","none","none","NS","J","NS","NS","NS","NS","NS","NS","NS","NS","0","1","0","0","NS","NS","NS","NS","NS","NS","NS","NS"
"NWT","WK",2010-07-19,"S",449227,4434202,"A","BR","BR","319","372","88","J","F","U","0","N","0","0","1","1","1","1","0","0","1","0","NS","NS","1",NA,"NS","NS"
"NWT","WK",2010-07-20,"S",449287,4434173,"A","RB","GY","371","333","154","A","F","L","0","N","0","0","1","1","1","0","1","0","1","0","NS","NS","1","38.8","NS","NS"
"NWT","WK",2010-07-20,"S",449255,4434186,"A","BB","RB","356","303","155","NS","NS","NS","0","N","0","0","0","0","1","1","1","0","0","0","NS","NS","0","39.5","NS","NS"
"NWT","WK",2010-07-20,"S",449228,4434203,"A","GB","GB","382","304","164","A","M","T?","0","N","1","1","1","1","1","1","1","0","1","1","NS","NS","1","39.8","NS","NS"
"NWT","WK",2010-07-20,"S",449200,4434200,"none","none","none","none","none","NS","J","NS","NS","NS","NS","NS","NS","NS","NS","0","0","0","0","NS","NS","NS","NS","NS","NS","NS","NS"
"NWT","WK",2010-07-20,"S",449394,4434128,"none","none","none","none","none","NS","A","NS","NS","NS","NS","NS","NS","NS","NS","0","0","1","1","NS","NS","NS","NS","NS","NS","NS","NS"
"NWT","WK",2010-07-20,"S",449254,4434149,"none","none","none","none","none","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","0","1","0","0","NS","NS","NS","NS","NS","NS","NS","NS"
"NWT","WK",2010-07-22,"N",449102,4434436,"A","GR","BW","366","332","166","A","M","U","0","N","1","1","1","1","1","1","0","0","1","0","NS","NS","1","37.5","NS","NS"
"NWT","WK",2010-07-22,"N",449121,4434411,"A","YY","BG","335","375","132","A","F","L","0","N","0","0","1","1","0","1","1","0","0","0","NS","NS","1","35.4","NS","NS"
"NWT","WK",2010-07-22,"N",449128,4434540,"A","RB","BB","395","336","174","A","M","U","0","N","0","0","1","1","1","0","1","0","0","1","NS","NS","1","37.7","NS","NS"
"NWT","WK",2010-07-22,"N",449062,4434437,"A","YY","GB","242","331","172","A","F","L","0","N","0","0","1","1","0","1","1","0","1","0","NS","NS","1","37.9","NS","NS"
"NWT","WK",2010-07-23,"N",449062,4434437,"A","BG","BW","310","300","162","A","M","T?","0","N","0","0","1","1","0","0","1","0","1","0","NS","NS","1","38","NS","NS"
"NWT","WK",2010-07-23,"N",449128,4434540,"A","RB","BB","395","336","177","A","M","U","0","N","0","0","0","0","0","0","0","0","1","0","NS","NS","0","39.3","NS","NS"
"NWT","WK",2010-07-27,"S",449211,4434220,"A","BG","GR","318","54","87","J","F","U","1","L","0","0","1","1","0","0","0","0","1","0","NS","NS","1","37.3","NS","NS"
"NWT","WK",2010-07-27,"S",449226,4434199,"A","GB","GB","382","304",NA,"A","M","U","0","N","0","0",NA,NA,"1","0","0","0","0",NA,"NS","NS",NA,NA,"NS","NS"
"NWT","WK",2010-07-27,"S",449237,4434213,"A","BR","GY","337","222","70","J","M","U","0","N","0","0","1","1","0","1","0","0","1","0","NS","NS","1","36.2","NS","NS"
"NWT","WK",2010-07-27,"S",449302,4434208,"A","BR","RY","368","311","180","A","M","T?","1","L","0","0","1","1","0","1","1","1","1","0","NS","NS","1","38.4","NS","NS"
"NWT","WK",2010-07-27,"S",449305,4434185,"A","GR","BG","314","378","102","J","M","U","0","N","0","0","1","1","0","1","1","0","1","0","NS","NS","1","37.7","NS","NS"
