"deployment_id","true_file_name","years_insitu","site","date_placed","date_pulled","easting","northing","depth","notes"
"2008-2009-A","A_2009.txt","2008-2009","ML","2008-09-26 08:30","2009-09-26 09:10","449407","4437884","Std","0.5 m W of haypile; ear tags may be GR/YG as recorded in ""Pikas_sampled_CO_2008.xls""."
"2008-2009-I","I_2010.txt","2008-2009","WK","2008-09-30 12:00","2009-09-17 14:00","449091","4434886","Std","90 deg, 1 m to Halfpenny trap.Sensor I was not found in 2009 but in 2010; data were trimmed for analysis. File called I_2010. Ashley Whipple estimated DatePulled and TimePulled"
"2008-2009-J","J_2009.txt","2008-2009","WK","2008-09-30 11:00","2009-09-17 13:00","449098","4434478","Std","135 deg, 2 m from (fresh) hay in rock shelter.at snow pole and shelter; 487 in yellow GPS. Ashley Whipple estimated TimePulled"
"2008-2009-K","K_2009.txt","2008-2009","WK","2008-09-30 10:00","2009-09-17 08:00","449382","4434089","Std","0.5 m NE of (fresh) haypile; permanent snow pole at 282 deg, 10 m; WX/XX has damaged L eye.Ashley Whipple estimated TimePulled"
"2008-2009-O","O_2009.txt","2008-2009","ML","2008-09-26 09:00","2009-09-26 10:10","449376","4437905","Std","0.2 m W of (fresh) haypile."
"2008-2009-X","X_2009.txt","2008-2009","LL","2008-10-10 11:00","2009-09-15 10:00","449934","4435473","Std","354.5 deg, ~100 m to Krear platform; 47 deg, 15 m to Krear marker (stick).50 deg 15 m to Krear stick. Ashley Whipple estimated TimePulled"
"2008-2009-Y","Y_2009.txt","2008-2009","LL","2008-10-10 10:00","2009-09-15 10:00","449914","4435561","Std","70 deg 30 m to Krear platform; in center of hay complex.Ashley Whipple estimated TimePulled"
"2009-2010-1056608","SDL11talusshallow_1056608.csv","2009-2010","WK ","2009-08-13 17:00","2010-10-15 10:00","449399","4434135","Std","near sdl 11, deep is 57 cm below surface.LTER_PE,LTER_PD. Ashley estimated TimePlaced, DatePulled, and TimePulled"
"2009-2010-1056609","sdl51talusshallow_1056609.csv","2009-2010","WK","2009-08-13 17:00","2010-10-15 11:00","449443","4434339","Std","near sdl 61, deep is 75 cm below surface.LTER_PL,LTER_PM. Ashley estimated TimePlaced, DatePulled, and TimePulled"
"2009-2010-1056611","eastknollshelterdeep_1056611.csv","2009-2010","EK","2009-08-13 12:00","2010-10-15 12:00","450079","4434232","Deep","elev 11688 m.LTER_P. Ashley estimated TimePlaced, DatePulled, and TimePulled"
"2009-2010-1058326","sdl11talusdeep_1058326.csv","2009-2010","WK ","2009-08-13 13:00","2010-10-15 09:00","449399","4434135","Deep","elev 11716 m.LTER_P5/4. Ashley estimated TimePlaced, DatePulled, and TimePulled"
"2009-2010-1058328","sdl41talusdeep_1058328.csv","2009-2010","WK ","2009-08-13 13:00","2010-10-15 10:00","TBD","TBD","Deep","elev 11687 m.LTER_P7/6. Ashley estimated TimePlaced, DatePulled, and TimePulled. No easting or northing information available, Chris needs to check other sources for this information."
"2009-2010-1058328-WK-N","westknollnorthdeep_1058328.csv","2009-2010","WK ","2009-08-13 12:00","2010-10-15 11:00","449135","4434532","Deep","in saddle snow grid at point 41. Ashley estimated TimePlaced, DatePulled, and TimePulled"
"2009-2010-1058334","eastknollsheltershallow_1058334.csv","2009-2010","EK","2009-08-13 17:00","2010-10-15 12:00","450079","4434232","Std","east knoll, 15 m west of rock shelter, 80 cm SW of pole, deep is 40 cm below surface.LTER_PN,LTER_PO. Ashley estimated TimePlaced, DatePulled, and TimePulled"
"2009-2010-1058335","sdl1talusdeep_1058335.csv","2009-2010","WK ","2009-08-13 14:00","2010-10-15 09:00","449379","4434086","Deep","elev 11711 m.LTER_P. Ashley estimated TimePlaced, DatePulled, and TimePulled"
"2009-2010-1058337","westknollmiddeep_1058337.csv","2009-2010","WK ","2009-08-13 16:00","2010-10-15 11:00","449099","4434475","Deep","elev 11728 m.LTER_P1. Ashley estimated TimePlaced, DatePulled, and TimePulled"
"2009-2010-1058341","sdl41talusshallow_1058341.csv","2009-2010","WK","2009-08-13 16:00","2010-10-15 10:00","449443","4434301","Std","between sdl 51 and 61, about 20m from 51, deep is 85 cm below surface.LTER_PI,LTER_PH. Ashley estimated TimePlaced, DatePulled, and TimePulled"
