Date,Station,UTM_Easting,UTM_Northing,Notes,Vial,Concentration_pg_g,Plate,Site,Biweek,Sex
2018-06-08,CG1,451373,4432963,,98,11563.40758,1,CG,1,M
2018-06-08,CG2,451411,4432985,,99,10629.14328,1,CG,1,M
2018-06-08,CG3,451462,4432991,,100,10923.56761,1,CG,1,M
2018-06-13,WK3,449317,4434093,,101,10413.54461,1,WK,1,M
2018-06-13,WK4,449342,4434141,,102,13530.58929,1,WK,1,M
2018-06-13,WK5,449323,4434273,,103,7798.556309,1,WK,1,U
2018-06-13,WK6,449243,4434156,,104,4714.955872,1,WK,1,M
2018-06-13,WK7,449223,4434233,,105,2086.739083,1,WK,1,U
2018-06-13,WK8,449244,4434292,,106,12898.84405,1,WK,1,M
2018-06-13,WK10,449438,4434201,,107,11328.85854,1,WK,1,M
2018-06-21,WK12,449077,4434440,,109,3373.775631,1,WK,2,U
2018-06-21,WK13,449131,4434534,,110,7588.360814,1,WK,2,M
2018-06-25,LL1,449927,4435565,,111,10202.31908,1,LL,2,U
2018-06-25,LL2,449891,4435517,,112,8032.843488,1,LL,2,U
2018-06-25,LL3,449882,4435616,,113,7622.995779,1,LL,2,U
2018-06-25,WK6,449246,4434155,Chris Collected no information taken. Coodinated estimated from later GPS locations taken by Ashley,116,7451.387454,1,WK,2,M
2018-06-25,WK11,449012,4434389,Collected by Chris,117,9681.781474,1,WK,2,U
2018-06-13,CG4,451613,4433243,Collected by Chris,120,9166.906396,1,CG,1,U
2018-06-29,CG1,451373,4432966,,121,3101.191785,1,CG,2,M
2018-06-29,CG3,451461,4432990,,122,8464.726516,1,CG,2,M
2018-07-11,WK1,448886,4434072,,123,2555.501229,1,WK,3,M
2018-07-11,WK2,449048,4434136,,124,2656.357971,1,WK,3,U
2018-07-11,WK3,449316,4434090,,125,7184.813401,1,WK,3,M
2018-07-11,WK5,449323,4434273,,127,7494.844024,2,WK,3,U
2018-07-11,WK6,449246,4434155,,128,4423.849231,2,WK,3,M
2018-07-11,WK8,449244,4434294,,130,7574.873637,2,WK,3,M
2018-07-11,WK9,449300,4434227,,131,11551.25275,2,WK,3,M
2018-07-11,WK11,449011,4434385,,133,3508.791451,2,WK,3,U
2018-07-11,WK12,449079,4434440,,134,4320.304402,3,WK,3,U
2018-07-11,WK13,449130,4434535,,135,7169.233683,2,WK,3,M
2018-07-20,WK1,448884,4434071,,136,6937.691948,2,WK,3,M
2018-07-20,WK2,449047,4434136,,137,3682.347737,2,WK,3,U
2018-07-20,WK5,449325,4434271,,140,10600.03736,2,WK,3,U
2018-07-20,WK6,449243,4434157,,141,8763.88082,2,WK,3,M
2018-07-20,WK7,449222,4434235,,142,3671.696399,2,WK,3,U
2018-07-20,WK8,449246,4434292,had to spreadout to find ,143,5460.328035,3,WK,3,M
2018-07-20,WK9,449300,4434228,,144,9224.051932,2,WK,3,M
2018-07-20,WK10,449439,4434204,,145,5152.960363,2,WK,3,M
2018-07-20,WK11,449014,4434383,,146,3346.645098,2,WK,3,U
2018-07-20,WK13,449132,4434536,,148,6944.39406,2,WK,3,M
2018-07-20,CG1,451380,4432971,,149,3375.85483,2,CG,3,M
2018-07-20,CG2,451411,4432986,Super fresh!,150,2391.540034,2,CG,3,M
2018-07-20,CG4,451617,4433243,,152,2667.61385,3,CG,3,U
2018-07-31,WK1,448886,4434071,,153,3380.834195,3,WK,4,M
2018-07-31,WK2,449047,4434138,,154,1997.506187,3,WK,4,U
2018-07-31,WK3,449317,4434091,,155,5566.656068,3,WK,4,M
2018-07-31,WK4,449337,4434145,,156,5068.887295,3,WK,4,M
2018-07-31,WK5,449320,4434273,,157,3011.41036,3,WK,4,U
2018-07-31,WK6,449244,4434155,,158,4823.64386,3,WK,4,M
2018-07-31,WK7,449224,4434233,,159,4191.337215,3,WK,4,U
2018-07-31,WK8,449242,4434295,,160,2382.67909,3,WK,4,M
2018-07-31,WK9,449299,4434229,,161,3733.349695,3,WK,4,M
2018-07-31,WK10,449439,4434203,,162,6147.084577,3,WK,4,M
2018-07-31,WK11,449012,4434384,,163,2510.726898,3,WK,4,U
2018-07-31,WK12,449076,4434440,,164,2524.599661,3,WK,4,U
2018-07-31,WK13,449132,4434533,,165,3070.051038,3,WK,4,M
2018-08-01,CG1,451380,4432971,,166,2058.969329,3,CG,4,M
2018-08-01,CG2,451411,4432986,,167,1959.352059,3,CG,4,M
2018-08-01,CG3,451462,4432989,,168,1906.10691,3,CG,4,M
2018-08-02,LL1,449915,4435575,,170,3552.72238,3,LL,4,U
2018-08-02,LL2,449888,4435516,Really fresh!,171,1332.291848,3,LL,4,U
2018-08-02,LL3,449888,4435612,Heard and saw pika here,172,834.0471397,3,LL,4,U
2018-08-09,WK1,448886,4434071,,173,2409.082331,3,WK,5,M
2018-08-09,WK2,449047,4434138,,174,3820.159299,4,WK,5,U
2018-08-09,WK3,449317,4434091,,175,5498.395459,4,WK,5,M
2018-08-09,WK4,449337,4434145,,176,6315.085465,4,WK,5,M
2018-08-09,WK5,449320,4434273,,177,6596.494759,4,WK,5,U
2018-08-09,WK6,449244,4434155,,178,5498.395459,4,WK,5,M
2018-08-09,WK7,449224,4434233,,179,2145.282824,4,WK,5,U
2018-08-09,WK8,449242,4434295,,180,3592.122472,4,WK,5,M
2018-08-09,WK9,449299,4434229,,181,10359.42617,4,WK,5,M
2018-08-09,WK10,449439,4434203,,182,5223.489074,4,WK,5,M
2018-08-09,WK11,449012,4434384,,183,2521.457733,4,WK,5,U
2018-08-09,WK12,449076,4434440,,184,1863.062959,4,WK,5,U
2018-08-09,WK13,449132,4434533,,185,7124.036634,4,WK,5,M
2018-08-20,WK1,448886,4434071,,186,4243.710999,4,WK,6,M
2018-08-20,WK2,449047,4434138,,187,2195.373575,4,WK,6,U
2018-08-20,WK3,449317,4434091,,188,4432.816867,4,WK,6,M
2018-08-20,WK5,449320,4434273,,189,5907.7399,4,WK,6,U
2018-08-20,WK6,449244,4434155,,190,3781.171857,4,WK,6,M
2018-08-20,WK7,449224,4434233,,191,1328.038523,4,WK,6,U
2018-08-20,WK8,449242,4434295,,192,1626.290164,4,WK,6,M
2018-08-20,WK9,449299,4434229,,193,7813.06884,4,WK,6,M
2018-08-20,WK10,449439,4434203,,194,3990.391094,4,WK,6,M
2018-08-20,WK11,449012,4434384,,195,1991.523326,4,WK,6,U
2018-08-20,WK12,449076,4434440,,196,1711.879995,4,WK,6,U
2018-08-20,WK13,449132,4434533,,197,3910.372543,5,WK,6,M
2018-08-20,CG1,451380,4432971,,198,6138.824698,5,CG,6,M
2018-08-20,CG2,451411,4432986,,199,3391.772613,5,CG,6,M
2018-08-20,CG3,451462,4432989,3 really fresh,200,6155.326683,5,CG,6,M
2018-08-20,CG4,451617,4433243,,201,2392.560366,5,CG,6,U
2018-08-20,LL1,449915,4435575,,202,1804.870175,5,LL,6,U
2018-08-20,LL2,449888,4435516,,203,2219.312136,5,LL,6,U
2018-08-20,LL3,449888,4435612,,204,6964.362748,5,LL,6,U
2018-09-04,CG1,451380,4432971,,205,4261.143434,5,CG,7,M
2018-09-04,CG2,451411,4432986,,206,2103.298327,5,CG,7,M
2018-09-04,CG3,451462,4432989,,207,5588.298378,5,CG,7,M
2018-09-04,CG4,451617,4433243,Mixed small and large pellets,208,10006.32459,5,CG,7,U
2018-09-04,WK1,448886,4434071,,209,3588.476581,5,WK,7,M
2018-09-04,WK2,449047,4434138,,210,4081.991951,5,WK,7,U
2018-09-04,WK3,449317,4434091,,211,4706.125989,5,WK,7,M
2018-09-04,WK5,449320,4434273,,212,5310.408749,5,WK,7,U
2018-09-04,WK6,449244,4434155,,213,4318.724805,5,WK,7,M
2018-09-04,WK7,449224,4434233,,214,2981.705191,5,WK,7,U
2018-09-04,WK8,449242,4434295,,215,3636.968119,5,WK,7,M
2018-09-04,WK9,449299,4434229,,216,8426.719733,5,WK,7,M
2018-09-04,WK10,449439,4434203,,217,3512.231322,5,WK,7,M
2018-09-04,WK11,449012,4434384,,218,2195.60841,5,WK,7,U
2018-09-04,WK12,449076,4434440,Freshly urinated on,219,3231.773896,5,WK,7,U
