Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,1/1/23,,,,4,2,,1,,,,,,,
Bonneville,1/2/23,,1,,4,2,,-1,,,,,,,
Bonneville,1/3/23,,,,2,1,,,,,,,,,
Bonneville,1/4/23,,,,-1,,,,,,,,,,
Bonneville,1/5/23,,,,1,,,-1,,,,,,,
Bonneville,1/6/23,,,,1,2,,,,,,,,,
Bonneville,1/7/23,,,,1,,,-3,,,,,,,
Bonneville,1/8/23,,,,,,,,,,,,,,
Bonneville,1/9/23,,,1,8,6,,,,,,,,,
Bonneville,1/10/23,,,,3,1,,-2,,,,,,,
Bonneville,1/11/23,,,,1,,,,,,,,,,
Bonneville,1/12/23,,,,6,2,,,,,,,,,
Bonneville,1/13/23,,,,6,2,,,,,,,,,
Bonneville,1/14/23,,,,-3,,,,,,,,,,
Bonneville,1/15/23,,,,3,2,,-1,,,,,,,
Bonneville,1/16/23,,,,8,4,,,,,,,,,
Bonneville,1/17/23,,,,8,5,,-2,,,,,,,
Bonneville,1/18/23,,,,6,1,,-1,,,,,,,
Bonneville,1/19/23,,,,2,,,-1,,,,,,,
Bonneville,1/20/23,,,,3,-1,,,,,,,,,
Bonneville,1/21/23,,,,,,,,,,,,,,
Bonneville,1/22/23,,,,3,1,,,,,,,,,
Bonneville,1/23/23,,,,,,,,,,,,,,
Bonneville,1/24/23,,,,6,3,,-1,,,,,,,
Bonneville,1/25/23,,,,-2,-1,,,,,,,,,
Bonneville,1/26/23,,,,,,,-1,,,,,,,
Bonneville,1/27/23,,,,1,3,,,,,,,,,
Bonneville,1/28/23,,,,4,1,,,,,,,,,
Bonneville,1/29/23,,,,3,,,-1,-1,,,,,,
Bonneville,1/30/23,,,,7,3,,,,,,,,,
Bonneville,1/31/23,,,,2,1,,,,,,,,,
Bonneville,2/1/23,,,,4,2,,-1,,,,,,,
Bonneville,2/2/23,,,,4,4,,,,,,,,,
Bonneville,2/3/23,,,,7,4,,,,,,,,,
Bonneville,2/4/23,,,,5,2,,,,,,,,,
Bonneville,2/5/23,,,,8,3,,,,,,,,,
Bonneville,2/6/23,,,,10,3,,,,,,,,,
Bonneville,2/7/23,,,,16,5,,,,,,,,,
Bonneville,2/8/23,,,,10,4,,,,,,,,,
Bonneville,2/9/23,,,,9,1,,,,,,,,,
Bonneville,2/10/23,,,,-1,-2,,,,,,,,,
Bonneville,2/11/23,,,,7,2,,,,,,,,,
Bonneville,2/12/23,,,,5,1,,,,,,,,,
Bonneville,2/13/23,,,,2,,,,,,,,,,
Bonneville,2/14/23,,,,5,,,,,,,,,,
Bonneville,2/15/23,,,,6,3,,,,,,,,,
Bonneville,2/16/23,,,,,,,,,,,,,,
Bonneville,2/17/23,,,,7,1,,,,,,,,,
Bonneville,2/18/23,,,,3,2,,,,,,,,,
Bonneville,2/19/23,,,,11,3,,,,,,,,,
Bonneville,2/20/23,,,,10,3,,,,,,,,,
Bonneville,2/21/23,,,,40,16,,,,,,,,,
Bonneville,2/22/23,,1,,19,8,,,,,,,,,
Bonneville,2/23/23,,,,8,3,,,,,,,,,
Bonneville,2/24/23,,,,3,3,,,,,,,,,
Bonneville,2/25/23,,,,,,,,,,,,,,
Bonneville,2/26/23,,,,,,,,,,,,,,
Bonneville,2/27/23,,,,4,1,,,,,,,,,
Bonneville,2/28/23,,,1,5,,,,,,,,,,
Bonneville,3/1/23,,,,14,9,,,,,,,,,
Bonneville,3/2/23,,,,12,4,,,,,,,,,
Bonneville,3/3/23,,,,8,5,,,,,,,,,
Bonneville,3/4/23,,,,3,4,,,,,,,,,
Bonneville,3/5/23,,,,9,7,,,,,,,,,
Bonneville,3/6/23,,,,9,5,,,,,,,,,
Bonneville,3/7/23,,,,17,9,,,,,,,,,
Bonneville,3/8/23,,,,9,6,,,,,,,,,
Bonneville,3/9/23,,,,11,7,,,,,,,,,
Bonneville,3/10/23,,,,19,9,,,,,,,,,
Bonneville,3/11/23,,,,25,8,,,,,,,,,
Bonneville,3/12/23,,,,5,2,,,,,,,,,
Bonneville,3/13/23,,,,7,4,,,,,,,,,
Bonneville,3/14/23,,,,25,4,,,,,,,,,
Bonneville,3/15/23,Sp,,,20,11,,,,,,,,,
Bonneville,3/16/23,Sp,,,45,19,,,,,,,,,
Bonneville,3/17/23,Sp,1,,32,11,,,,,,,,,
Bonneville,3/18/23,Sp,2,1,61,28,,,,,,,,,
Bonneville,3/19/23,Sp,3,,53,31,,,,,,,,,
Bonneville,3/20/23,Sp,2,,46,16,,,,,,,,,
Bonneville,3/21/23,Sp,3,,53,28,,,,,,,,,
Bonneville,3/22/23,Sp,,,41,25,,,,,,,,,
Bonneville,3/23/23,Sp,1,,51,27,,,,,,,,,
Bonneville,3/24/23,Sp,10,,178,91,,,,,,,,,
Bonneville,3/25/23,Sp,8,1,72,44,,,,,,,,,
Bonneville,3/26/23,Sp,6,2,33,16,,,,,,,,,
Bonneville,3/27/23,Sp,7,,30,12,,,,,,,,,
Bonneville,3/28/23,Sp,5,1,22,10,,,,,,,,,
Bonneville,3/29/23,Sp,26,6,48,22,,,,,,,,,
Bonneville,3/30/23,Sp,14,5,26,14,,,,,,,,,
Bonneville,3/31/23,Sp,26,5,16,8,,,,,,,,,
Bonneville,4/1/23,Sp,49,,15,8,,,,,,,,,
Bonneville,4/2/23,Sp,22,,25,13,,,,,,,,,
Bonneville,4/3/23,Sp,35,3,29,18,,,,,,,,,
Bonneville,4/4/23,Sp,71,-1,15,11,,,,,,,,,7
Bonneville,4/5/23,Sp,66,,26,13,,,,,,,,,7.1
Bonneville,4/6/23,Sp,13,,30,19,,,,,,,,,7.2
Bonneville,4/7/23,Sp,56,,20,13,,,,,,,,,7.3
Bonneville,4/8/23,Sp,12,,21,11,,,,,,,,,7.5
Bonneville,4/9/23,Sp,36,,17,5,,,,,,,,,7.7
Bonneville,4/10/23,Sp,40,1,11,5,,,,,,,,,7.7
Bonneville,4/11/23,Sp,34,,19,10,,,,,,,,,7.7
Bonneville,4/12/23,Sp,43,,17,10,,,,,,,,,7.7
Bonneville,4/13/23,Sp,44,1,12,4,,,,,,,,,7.7
Bonneville,4/14/23,Sp,71,1,18,6,,,,,,,,,8
Bonneville,4/15/23,Sp,69,1,10,2,,,,,,,,,8.2
Bonneville,4/16/23,Sp,53,,4,,,,,,,,,,8.4
Bonneville,4/17/23,Sp,90,3,12,7,,,,,,,,,8.5
Bonneville,4/18/23,Sp,57,,8,2,,,,,,,,,8.5
Bonneville,4/19/23,Sp,119,,4,1,,,,,,,,,8.6
Bonneville,4/20/23,Sp,145,2,6,4,,,,,,,,,8.6
Bonneville,4/21/23,Sp,388,4,3,3,,,,,,,,,8.7
Bonneville,4/22/23,Sp,447,3,6,2,,,,,,,,,9
Bonneville,4/23/23,Sp,804,7,8,5,,,,,,,,,9.3
Bonneville,4/24/23,Sp,1437,23,11,4,,,,,,,,,9.6
Bonneville,4/25/23,Sp,1282,15,5,,,,,,,,,,9.9
Bonneville,4/26/23,Sp,1215,12,7,5,,,,,,,,,10.3
Bonneville,4/27/23,Sp,1663,24,,,,,,,,,,,10.6
Bonneville,4/28/23,Sp,2109,43,9,6,,,,,,,,,10.8
Bonneville,4/29/23,Sp,1856,34,9,8,,,,,,,,,11.1
Bonneville,4/30/23,Sp,2475,41,6,3,,,,,,,,,11.2
Bonneville,5/1/23,Sp,3635,57,7,3,,,,,,,,,11.4
Bonneville,5/2/23,Sp,2212,51,5,1,,,,,,,,,11.2
Bonneville,5/3/23,Sp,1377,47,9,2,2,,,,,,,,11.6
Bonneville,5/4/23,Sp,1459,60,7,1,,,,,,,,,11.8
Bonneville,5/5/23,Sp,1252,53,10,1,,,,,1,,,,11.9
Bonneville,5/6/23,Sp,1914,114,11,1,1,,,,2,,,,12.1
Bonneville,5/7/23,Sp,1574,102,6,3,,,,,2,,,,12.3
Bonneville,5/8/23,Sp,4508,219,1,1,,,,,6,,,,12.3
Bonneville,5/9/23,Sp,5804,280,4,,,,,,1,,,,12.4
Bonneville,5/10/23,Sp,7973,506,3,2,1,,,,,,,,12.4
Bonneville,5/11/23,Sp,7204,520,9,3,,,,,2,,,,12.7
Bonneville,5/12/23,Sp,6052,497,7,1,,,,,19,,,,12.9
Bonneville,5/13/23,Sp,5203,456,6,1,,,,27,5,,,,13.2
Bonneville,5/14/23,Sp,6304,721,4,3,,,,272,11,,,,13.4
Bonneville,5/15/23,Sp,6022,796,13,3,,,,1732,17,,,,13.5
Bonneville,5/16/23,Sp,6188,903,12,4,,,,1422,46,,,,13.5
Bonneville,5/17/23,Sp,2596,432,6,1,,,,667,124,,,,13.4
Bonneville,5/18/23,Sp,2629,545,8,3,,,,335,253,,,,13.6
Bonneville,5/19/23,Sp,2380,431,14,3,,,,262,139,,,,13.8
Bonneville,5/20/23,Sp,2339,438,3,,,,,338,100,,,,14.1
Bonneville,5/21/23,Sp,2736,348,6,2,,,,435,272,,,,14.3
Bonneville,5/22/23,Sp,1482,268,7,5,,,,134,164,,,,14
Bonneville,5/23/23,Sp,1825,356,2,-1,,,,297,85,,,,14.1
Bonneville,5/24/23,Sp,1688,301,11,3,,,,920,188,,,,14.4
Bonneville,5/25/23,Sp,1579,286,9,1,1,,,12937,223,,,,14.8
Bonneville,5/26/23,Sp,1219,229,12,9,,,,29552,320,,,,15
Bonneville,5/27/23,Sp,1142,145,12,1,,,,17283,227,,,,15
Bonneville,5/28/23,Sp,1158,182,12,2,1,,,14802,150,,,,15
Bonneville,5/29/23,Sp,827,159,15,2,5,,,14460,89,,,,15.1
Bonneville,5/30/23,Sp,1395,219,13,4,8,,,17491,267,,,,15.2
Bonneville,5/31/23,Sp,1373,172,22,7,13,,,26216,202,,,,15.1
Bonneville,6/1/23,Su,1450,177,18,2,16,,,20080,191,,,,15.2
Bonneville,6/2/23,Su,1090,153,13,5,33,,,30153,355,,,,15.5
Bonneville,6/3/23,Su,1243,165,16,6,56,,,56565,534,,,,15.8
Bonneville,6/4/23,Su,1449,177,30,7,63,,,79000,665,,,,16
Bonneville,6/5/23,Su,1817,194,21,9,147,,,131912,563,,,,16.2
Bonneville,6/6/23,Su,1682,178,28,10,195,,,86293,307,,,,16.5
Bonneville,6/7/23,Su,2067,178,23,11,216,,,108180,542,,,,16.9
Bonneville,6/8/23,Su,1906,172,23,8,198,,,105043,493,,,,17
Bonneville,6/9/23,Su,2233,156,17,7,150,,,64482,313,,,,16.9
Bonneville,6/10/23,Su,1909,169,23,10,432,,,116412,198,,,,16.8
Bonneville,6/11/23,Su,1563,134,27,19,697,,,164756,422,,,,17.1
Bonneville,6/12/23,Su,1738,173,27,15,1345,,,217682,2367,,,,17.6
Bonneville,6/13/23,Su,2642,283,44,21,2480,,,233899,3442,,,,18
