data_code,rec_year,rec_month,rec_day,animal_code,animal_sex,animal_weight,animal_yob
CBH01,2011,10,27,O-101,F,316,2011
CBH01,2011,10,27,O-102,F,266,2011
CBH01,2011,10,27,O-103,M,290,2011
CBH01,2011,10,27,O-104,M,326,2011
CBH01,2011,10,27,O-105,M,336,2011
CBH01,2011,10,27,O-106,M,350,2011
CBH01,2011,10,27,O-107,F,320,2011
CBH01,2011,10,27,O-108,M,296,2011
CBH01,2011,10,27,O-109,F,356,2011
CBH01,2011,10,27,O-110,F,326,2011
CBH01,2011,10,27,O-111,F,286,2011
CBH01,2011,10,27,O-112,M,376,2011
CBH01,2011,10,27,O-113,F,374,2011
CBH01,2011,10,27,O-114,F,276,2011
CBH01,2011,10,27,O-115,M,384,2011
CBH01,2011,10,27,O-116,M,274,2011
CBH01,2011,10,27,O-117,F,346,2011
CBH01,2011,10,27,O-118,F,316,2011
CBH01,2011,10,27,O-119,F,318,2011
CBH01,2011,10,27,O-120,F,254,2011
CBH01,2011,10,27,O-121,F,372,2011
CBH01,2011,10,27,O-122,M,292,2011
CBH01,2011,10,27,O-123,F,330,2011
CBH01,2011,10,27,O-124,F,296,2011
CBH01,2011,10,27,O-125,M,422,2011
CBH01,2011,10,27,O-126,F,334,2011
CBH01,2011,10,27,O-127,F,330,2011
CBH01,2011,10,27,O-128,M,392,2011
CBH01,2011,10,27,O-129,F,372,2011
CBH01,2011,10,27,O-130,F,210,2011
CBH01,2011,10,27,O-131,F,320,2011
CBH01,2011,10,27,O-132,M,276,2011
CBH01,2011,10,27,O-133,M,292,2011
CBH01,2011,10,27,O-134,M,284,2011
CBH01,2011,10,27,O-135,F,188,2011
CBH01,2011,10,27,O-136,F,320,2011
CBH01,2011,10,27,O-137,F,354,2011
CBH01,2011,10,27,O-138,F,280,2011
CBH01,2011,10,27,O-139,F,244,2011
CBH01,2011,10,27,O-140,F,334,2011
CBH01,2011,10,27,O-141,F,280,2011
CBH01,2011,10,27,O-142,F,348,2011
CBH01,2011,10,27,O-143,M,286,2011
CBH01,2011,10,27,O-144,M,262,2011
CBH01,2011,10,27,O-145,F,332,2011
CBH01,2011,10,27,O-146,M,330,2011
CBH01,2011,10,27,O-147,M,330,2011
CBH01,2011,10,27,O-148,F,300,2011
CBH01,2011,10,27,O-149,M,244,2011
CBH01,2011,10,27,O-150,M,376,2011
CBH01,2011,10,27,O-151,M,328,2011
CBH01,2011,10,27,O-152,M,390,2011
CBH01,2011,10,27,O-153,F,360,2011
CBH01,2011,10,27,O-154,M,366,2011
CBH01,2011,10,27,O-155,M,280,2011
CBH01,2011,10,27,O-156,M,290,2011
CBH01,2011,10,27,O-157,F,192,2011
CBH01,2011,10,27,O-158,F,278,2011
CBH01,2011,10,27,O-159,F,388,2011
CBH01,2011,10,27,O-160,M,304,2011
CBH01,2011,10,27,O-161,F,346,2011
CBH01,2011,10,27,O-162,M,348,2011
CBH01,2012,10,25,O-201,M,416,2012
CBH01,2012,10,25,O-202,F,366,2012
CBH01,2012,10,25,O-203,M,280,2012
CBH01,2012,10,25,O-204,M,206,2012
CBH01,2012,10,25,O-205,F,314,2012
CBH01,2012,10,25,O-206,F,404,2012
CBH01,2012,10,25,O-207,M,383,2012
CBH01,2012,10,25,O-208,M,326,2012
CBH01,2012,10,25,O-209,F,207,2012
CBH01,2012,10,25,O-210,F,352,2012
CBH01,2012,10,25,O-211,M,354,2012
CBH01,2012,10,25,O-212,M,278,2012
CBH01,2012,10,25,O-213,M,338,2012
CBH01,2012,10,25,O-214,F,354,2012
CBH01,2012,10,25,O-215,M,370,2012
CBH01,2012,10,25,O-216,M,314,2012
CBH01,2012,10,25,O-217,M,372,2012
CBH01,2012,10,25,O-218,F,308,2012
