year,park,month,visits
2024,dvnp,jan,85415
2024,dvnp,feb,123912
2024,dvnp,mar,161476
2024,dvnp,apr,165429
2024,dvnp,may,139306
2024,dvnp,jun,69830
2024,dvnp,jul,99078
2024,dvnp,aug,110158
2024,dvnp,sep,105027
2024,dvnp,oct,129633
2024,dvnp,nov,129189
2024,dvnp,dec,122031
2023,dvnp,jan,84177
2023,dvnp,feb,115023
2023,dvnp,mar,145647
2023,dvnp,apr,144868
2023,dvnp,may,113857
2023,dvnp,jun,81845
2023,dvnp,jul,86776
2023,dvnp,aug,81202
2023,dvnp,sep,0
2023,dvnp,oct,41089
2023,dvnp,nov,98719
2023,dvnp,dec,106429
2022,dvnp,jan,92212
2022,dvnp,feb,124091
2022,dvnp,mar,182052
2022,dvnp,apr,108984
2022,dvnp,may,92601
2022,dvnp,jun,84768
2022,dvnp,jul,84575
2022,dvnp,aug,48242
2022,dvnp,sep,54672
2022,dvnp,oct,53764
2022,dvnp,nov,93445
2022,dvnp,dec,109456
2021,dvnp,jan,80263
2021,dvnp,feb,109242
2021,dvnp,mar,171617
2021,dvnp,apr,140477
2021,dvnp,may,80770
2021,dvnp,jun,56077
2021,dvnp,jul,52909
2021,dvnp,aug,42775
2021,dvnp,sep,55804
2021,dvnp,oct,108985
2021,dvnp,nov,133130
2021,dvnp,dec,114502
2020,dvnp,jan,99063
2020,dvnp,feb,127628
2020,dvnp,mar,112464
2020,dvnp,apr,18361
2020,dvnp,may,19994
2020,dvnp,jun,29404
2020,dvnp,jul,42566
2020,dvnp,aug,39387
2020,dvnp,sep,38762
2020,dvnp,oct,66744
2020,dvnp,nov,131552
2020,dvnp,dec,94098
2019,dvnp,jan,111954
2019,dvnp,feb,112925
2019,dvnp,mar,178553
2019,dvnp,apr,177696
2019,dvnp,may,155378
2019,dvnp,jun,122013
2019,dvnp,jul,142487
2019,dvnp,aug,165632
2019,dvnp,sep,168894
2019,dvnp,oct,138152
2019,dvnp,nov,132013
2019,dvnp,dec,135248
2018,dvnp,jan,80396
2018,dvnp,feb,129711
2018,dvnp,mar,163823
2018,dvnp,apr,140669
2018,dvnp,may,158670
2018,dvnp,jun,110111
2018,dvnp,jul,142972
2018,dvnp,aug,182929
2018,dvnp,sep,150012
2018,dvnp,oct,176518
2018,dvnp,nov,126623
2018,dvnp,dec,116226
2017,dvnp,jan,66867
2017,dvnp,feb,78586
2017,dvnp,mar,108119
2017,dvnp,apr,107559
2017,dvnp,may,105660
2017,dvnp,jun,85150
2017,dvnp,jul,135277
2017,dvnp,aug,172052
2017,dvnp,sep,138167
2017,dvnp,oct,111268
2017,dvnp,nov,91802
2017,dvnp,dec,94320
2016,dvnp,jan,69229
2016,dvnp,feb,93970
2016,dvnp,mar,209282
2016,dvnp,apr,109486
2016,dvnp,may,101842
2016,dvnp,jun,53042
2016,dvnp,jul,103950
2016,dvnp,aug,116843
2016,dvnp,sep,141517
2016,dvnp,oct,110588
2016,dvnp,nov,99779
2016,dvnp,dec,86755
2015,dvnp,jan,79547
2015,dvnp,feb,75606
2015,dvnp,mar,109421
2015,dvnp,apr,107352
2015,dvnp,may,122137
2015,dvnp,jun,95496
2015,dvnp,jul,113672
2015,dvnp,aug,111467
2015,dvnp,sep,88005
2015,dvnp,oct,102672
2015,dvnp,nov,73477
2015,dvnp,dec,75991
2014,dvnp,jan,59718
2014,dvnp,feb,66371
2014,dvnp,mar,90386
2014,dvnp,apr,107089
2014,dvnp,may,122761
2014,dvnp,jun,81146
2014,dvnp,jul,79329
2014,dvnp,aug,123363
2014,dvnp,sep,110593
2014,dvnp,oct,96526
2014,dvnp,nov,80573
2014,dvnp,dec,83457
2013,dvnp,jan,60868
2013,dvnp,feb,69596
2013,dvnp,mar,104159
2013,dvnp,apr,99741
2013,dvnp,may,93874
2013,dvnp,jun,74910
2013,dvnp,jul,80393
2013,dvnp,aug,90631
2013,dvnp,sep,94989
2013,dvnp,oct,68345
2013,dvnp,nov,65899
2013,dvnp,dec,48567
2012,dvnp,jan,61713
2012,dvnp,feb,64439
2012,dvnp,mar,85680
2012,dvnp,apr,96944
2012,dvnp,may,81636
2012,dvnp,jun,70245
2012,dvnp,jul,97488
2012,dvnp,aug,116560
2012,dvnp,sep,106510
2012,dvnp,oct,61723
2012,dvnp,nov,76490
2012,dvnp,dec,65140
2011,dvnp,jan,53158
2011,dvnp,feb,75164
2011,dvnp,mar,87843
2011,dvnp,apr,155234
2011,dvnp,may,63296
2011,dvnp,jun,92244
2011,dvnp,jul,107539
2011,dvnp,aug,73237
2011,dvnp,sep,98093
2011,dvnp,oct,50717
2011,dvnp,nov,58123
2011,dvnp,dec,32219
2010,dvnp,jan,54678
2010,dvnp,feb,79196
2010,dvnp,mar,133300
2010,dvnp,apr,158319
2010,dvnp,may,63622
2010,dvnp,jun,98967
2010,dvnp,jul,103919
2010,dvnp,aug,65201
2010,dvnp,sep,92876
2010,dvnp,oct,47898
2010,dvnp,nov,59756
2010,dvnp,dec,27043
2009,dvnp,jan,46010
2009,dvnp,feb,45168
2009,dvnp,mar,92935
2009,dvnp,apr,68675
2009,dvnp,may,64187
2009,dvnp,jun,94520
2009,dvnp,jul,59806
2009,dvnp,aug,103181
2009,dvnp,sep,90401
2009,dvnp,oct,75587
2009,dvnp,nov,62533
2009,dvnp,dec,25571
2008,dvnp,jan,22274
2008,dvnp,feb,33008
2008,dvnp,mar,108197
2008,dvnp,apr,76141
2008,dvnp,may,83457
2008,dvnp,jun,65350
2008,dvnp,jul,107479
2008,dvnp,aug,114524
2008,dvnp,sep,109326
2008,dvnp,oct,71902
2008,dvnp,nov,51181
2008,dvnp,dec,29099
2007,dvnp,jan,33933
2007,dvnp,feb,31820
2007,dvnp,mar,62036
2007,dvnp,apr,62265
2007,dvnp,may,66975
2007,dvnp,jun,50866
2007,dvnp,jul,57166
2007,dvnp,aug,72478
2007,dvnp,sep,63281
2007,dvnp,oct,82269
2007,dvnp,nov,65588
2007,dvnp,dec,55445
2006,dvnp,jan,47518
2006,dvnp,feb,57656
2006,dvnp,mar,79684
2006,dvnp,apr,77945
2006,dvnp,may,71881
2006,dvnp,jun,50011
2006,dvnp,jul,56990
2006,dvnp,aug,81482
2006,dvnp,sep,80212
2006,dvnp,oct,74215
2006,dvnp,nov,29970
2006,dvnp,dec,36876
2005,dvnp,jan,26104
2005,dvnp,feb,37201
2005,dvnp,mar,128271
2005,dvnp,apr,99117
2005,dvnp,may,56257
2005,dvnp,jun,26718
2005,dvnp,jul,79294
2005,dvnp,aug,75828
2005,dvnp,sep,84526
2005,dvnp,oct,73927
2005,dvnp,nov,62003
2005,dvnp,dec,50867
2004,dvnp,jan,52401
2004,dvnp,feb,64861
2004,dvnp,mar,96111
2004,dvnp,apr,96662
2004,dvnp,may,77981
2004,dvnp,jun,60618
2004,dvnp,jul,80405
2004,dvnp,aug,50191
2004,dvnp,sep,59984
2004,dvnp,oct,52428
2004,dvnp,nov,46480
2004,dvnp,dec,26698
2024,cnps,jan,17055
2024,cnps,feb,14888
2024,cnps,mar,23069
2024,cnps,apr,22081
2024,cnps,may,23374
2024,cnps,jun,26180
2024,cnps,jul,32816
2024,cnps,aug,26380
2024,cnps,sep,20251
2024,cnps,oct,23694
2024,cnps,nov,17900
2024,cnps,dec,14893
2023,cnps,jan,12950
2023,cnps,feb,19726
2023,cnps,mar,25063
2023,cnps,apr,27243
2023,cnps,may,30918
2023,cnps,jun,36635
2023,cnps,jul,38390
2023,cnps,aug,31076
2023,cnps,sep,31607
2023,cnps,oct,28935
2023,cnps,nov,27115
2023,cnps,dec,19088
2022,cnps,jan,16968
2022,cnps,feb,21175
2022,cnps,mar,25048
2022,cnps,apr,30769
2022,cnps,may,23636
2022,cnps,jun,30138
2022,cnps,jul,37853
2022,cnps,aug,33844
2022,cnps,sep,31120
2022,cnps,oct,27647
2022,cnps,nov,27468
2022,cnps,dec,17579
2021,cnps,jan,1684
2021,cnps,feb,13176
2021,cnps,mar,13914
2021,cnps,apr,22512
2021,cnps,may,28239
