censusdate,month,day,year,treatment,scientificname,commonname,sex,hfl,wgt
1978-01-08,1,8,1978,exclosure,Onychomys leucogaster,Northern Grasshopper Mouse,NA,NA,NA
1978-01-08,1,8,1978,exclosure,Neotoma albigula,White-throated woodrat,NA,NA,NA
1978-01-08,1,8,1978,exclosure,Perognathus flavus,Silky pocket mouse,M,15,7
1978-01-08,1,9,1978,control,Onychomys torridus,Southern grasshopper mouse,NA,NA,NA
1978-01-08,1,9,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,36,40
1978-01-08,1,9,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,34,37
1978-01-08,1,9,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,47,117
1978-01-08,1,9,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,36,40
1978-01-08,1,9,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,M,49,132
1978-01-08,1,9,1978,control,Onychomys leucogaster,Northern Grasshopper Mouse,NA,NA,NA
1978-01-08,1,9,1978,control,Neotoma albigula,White-throated woodrat,NA,NA,NA
1978-01-08,1,9,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,38,44
1978-01-08,1,9,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,36,40
1978-01-08,1,9,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,50,126
1978-01-08,1,9,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,51,122
1978-01-08,1,9,1978,control,Neotoma albigula,White-throated woodrat,NA,NA,NA
1978-01-08,1,9,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,F,48,116
1978-01-08,1,9,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,36,38
1978-01-08,1,9,1978,control,Dipodomys merriami,Merriam's kangaroo rat,F,37,39
1978-01-08,1,9,1978,control,Dipodomys merriami,Merriam's kangaroo rat,M,36,46
1978-01-08,1,9,1978,control,Dipodomys spectabilis,Banner-tailed kangaroo rat,M,50,133
