uin,incident_year,state,site_category,shark_common_name,shark_scientific_name,provoked_unprovoked,victim_activity
1,1791,NSW,coastal,white shark,Carcharodon carcharias ,unprovoked,swimming
2,1803,WA,coastal,tiger shark,Galeocerdo cuvier ,unprovoked,swimming
3,1807,NSW,estuary/harbour,bull shark,Carcharhinus leucas,unprovoked,swimming
4,1820,TAS,coastal,NA,NA,provoked,swimming
5,1825,NSW,estuary/harbour,bull shark,Carcharhinus leucas,unprovoked,swimming
6,1830,TAS,island open ocean,white shark,Carcharodon carcharias ,unprovoked,swimming
7,1832,NSW,estuary/harbour,bull shark,Carcharhinus leucas,provoked,swimming
8,1832,NSW,coastal,white shark,Carcharodon carcharias ,provoked,fishing
9,1836,SA,coastal,white shark,Carcharodon carcharias ,unprovoked,swimming
10,1836,QLD,coastal,whaler shark,Carcharhinidae,unprovoked,swimming
11,1836,QLD,coastal,whaler shark,Carcharhinidae,unprovoked,swimming
12,1837,NSW,river,bull shark,Carcharhinus leucas,unprovoked,swimming
13,1839,VIC,coastal,white shark,Carcharodon carcharias ,provoked,swimming
14,1840,NSW,estuary/harbour,bull shark,Carcharhinus leucas,unprovoked,swimming
15,1841,NSW,estuary/harbour,bull shark,Carcharhinus leucas,unprovoked,swimming
16,1847,QLD,coastal,bull shark,Carcharhinus leucas,unprovoked,swimming
17,1847,QLD,river,bull shark,Carcharhinus leucas,unprovoked,swimming
18,1849,WA,ocean/pelagic,white shark,Carcharodon carcharias ,provoked,swimming
19,1849,VIC,coastal,white shark,Carcharodon carcharias ,unprovoked,swimming
20,1849,NSW,estuary/harbour,bull shark,Carcharhinus leucas,unprovoked,swimming
21,1850,QLD,coastal,tiger shark,Galeocerdo cuvier ,unprovoked,swimming
22,1850,NSW,coastal,whaler shark,Carcharhinidae,unprovoked,swimming
23,1853,NSW,estuary/harbour,wobbegong,Orectolobidae,provoked,swimming
24,1855,QLD,river,bull shark,Carcharhinus leucas,unprovoked,swimming
25,1855,NSW,estuary/harbour,bull shark,Carcharhinus leucas,unprovoked,swimming
26,1855,QLD,island open ocean,tiger shark,Galeocerdo cuvier ,unprovoked,swimming
27,1855,NSW,estuary/harbour,bull shark,Carcharhinus leucas,unprovoked,swimming
28,1856,VIC,coastal,white shark,Carcharodon carcharias ,unprovoked,swimming
29,1856,SA,coastal,wobbegong,Orectolobidae,unprovoked,NA
30,1858,VIC,coastal,white shark,Carcharodon carcharias ,unprovoked,swimming
31,1860,SA,coastal,white shark,Carcharodon carcharias ,unprovoked,swimming
32,1861,QLD,coastal,wobbegong,Orectolobidae,unprovoked,swimming
33,1862,VIC,coastal,white shark,Carcharodon carcharias ,unprovoked,swimming
34,1862,QLD,river,bull shark,Carcharhinus leucas,unprovoked,swimming
35,1863,NSW,river,bull shark,Carcharhinus leucas,unprovoked,swimming
36,1863,QLD,coastal,tiger shark,Galeocerdo cuvier ,provoked,swimming
37,1863,VIC,coastal,white shark,Carcharodon carcharias ,unprovoked,swimming
38,1863,QLD,coastal,tiger shark,Galeocerdo cuvier ,unprovoked,NA
39,1865,VIC,coastal,white shark,Carcharodon carcharias ,unprovoked,swimming
40,1868,QLD,coastal,tiger shark,Galeocerdo cuvier ,unprovoked,swimming
41,1869,QLD,river,bull shark,Carcharhinus leucas,unprovoked,swimming
42,1869,SA,coastal,broadnose sevengill shark,Notorynchus cepedianus,provoked,fishing
43,1870,QLD,river,bull shark,Carcharhinus leucas,unprovoked,swimming
44,1870,QLD,coastal,whaler shark,Carcharhinidae,provoked,spearfishing
45,1872,QLD,coastal,NA,NA,unprovoked,swimming
46,1873,SA,coastal,white shark,Carcharodon carcharias ,unprovoked,unmotorised boating
47,1874,NSW,estuary/harbour,bull shark,Carcharhinus leucas,unprovoked,swimming
48,1874,QLD,river,bull shark,Carcharhinus leucas,unprovoked,swimming
49,1874,NSW,coastal,wobbegong,Orectolobidae,provoked,swimming
50,1875,NSW,river,tiger shark,Galeocerdo cuvier ,unprovoked,swimming
51,1875,QLD,estuary/harbour,tiger shark,Galeocerdo cuvier ,provoked,snorkelling
52,1875,NSW,island open ocean,white shark,Carcharodon carcharias ,provoked,swimming
53,1875,NSW,river,bull shark,Carcharhinus leucas,unprovoked,swimming
54,1876,WA,river,bull shark,Carcharhinus leucas,provoked,snorkelling
55,1876,VIC,coastal,white shark,Carcharodon carcharias ,unprovoked,swimming
56,1876,QLD,coastal,tiger shark,Galeocerdo cuvier ,provoked,snorkelling
57,1876,VIC,estuary/harbour,white shark,Carcharodon carcharias ,unprovoked,swimming
58,1876,NSW,coastal,whaler shark,Carcharhinidae,provoked,diving
59,1876,NSW,island open ocean,bull shark,Carcharhinus leucas,unprovoked,swimming
60,1877,VIC,coastal,white shark,Carcharodon carcharias ,unprovoked,swimming
61,1877,VIC,coastal,white shark,Carcharodon carcharias ,unprovoked,swimming
62,1877,VIC,coastal,white shark,Carcharodon carcharias ,unprovoked,swimming
63,1877,NSW,estuary/harbour,bull shark,Carcharhinus leucas,unprovoked,swimming
64,1877,SA,coastal,NA,NA,provoked,swimming
65,1878,QLD,island open ocean,tiger shark,Galeocerdo cuvier ,provoked,snorkelling
66,1878,VIC,river,whaler shark,Carcharhinidae,unprovoked,swimming
